dataset,dimA,dimB_3j,client_valence_nec,client_valence_happy_ending,counselor_valence_emo_mean,client_valence_emo_std,total_tokens
annomi,3.6208,3.7603,0.0271,0.6455,0.1377,0.1334,877.6964
cactus,3.3761,4.2902,0.0494,0.725,0.1792,0.1384,819.665
cpsycoun,2.285,3.4178,0.0172,0.5934,0.174,0.1315,259.55
esconv,1.7985,4.0071,0.0817,0.775,0.1754,0.1392,487.09
kmi,2.6527,4.0875,0.0763,0.745,0.182,0.1284,251.8
kokorochat,2.9165,4.0456,0.0477,0.745,0.1731,0.1367,1104.61
psy_insight,3.364,3.6054,-0.0001,0.4965,0.1422,0.1173,170.285
psydial,2.4814,4.1821,0.0562,0.84,0.1735,0.1424,1621.67
simpsydial,3.1878,4.3352,0.085,0.88,0.1985,0.1381,971.765
smile,2.3207,4.1658,0.0865,0.7929,0.1817,0.142,666.515
soulchat,2.1908,3.9918,0.076,0.76,0.1942,0.1439,505.54
