dataset,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
annomi,3.906,3.881,3.812,3.76,3.855,3.702,3.902,3.618,3.649,3.483,3.626,3.929
cactus,4.326,4.482,4.541,4.292,4.597,4.211,4.543,4.068,4.074,3.787,4.063,4.497
cpsycoun,3.559,3.491,3.574,3.282,3.12,3.096,3.59,3.148,3.661,3.2,3.375,3.918
esconv,3.903,3.888,3.997,3.854,4.073,3.953,4.001,4.102,4.093,3.957,4.066,4.2
kmi,4.25,4.253,4.393,4.066,4.006,3.976,4.297,4.057,3.98,3.709,3.934,4.129
kokorochat,4.09,4.061,4.201,3.859,3.94,3.956,4.131,3.93,4.128,3.855,4.122,4.274
psy_insight,3.719,3.714,3.701,3.664,3.623,3.601,3.844,3.516,3.4,3.287,3.353,3.843
psydial,4.194,4.12,4.248,4.023,4.114,4.13,4.248,4.11,4.202,4.077,4.212,4.506
simpsydial,4.218,4.418,4.398,4.297,4.765,4.28,4.468,4.228,4.154,4.092,4.123,4.583
smile,4.144,4.174,4.185,4.13,4.218,4.107,4.187,4.118,4.161,4.093,4.121,4.35
soulchat,3.938,3.96,3.957,3.894,3.941,3.87,4.006,3.951,4.104,3.954,4.087,4.239
