dataset,total_3j,total_3j_std,n_3j,goal_3j,approach_3j,bond_3j,pct_lt3,pct_ge4,total_2j,total_2j_std,n_2j,diff_2j_minus_3j
annomi,3.76,0.934,112,3.84,3.769,3.672,16.964,57.143,3.803,0.976,112,0.043
cactus,4.29,0.336,200,4.41,4.355,4.106,0.0,81.0,4.358,0.341,200,0.067
cpsycoun,3.418,0.355,200,3.476,3.238,3.538,11.5,6.5,3.554,0.358,200,0.136
esconv,4.007,0.512,200,3.91,4.032,4.079,4.5,62.0,4.139,0.517,200,0.132
kmi,4.088,0.199,200,4.241,4.084,3.938,0.0,68.0,4.161,0.214,200,0.073
kokorochat,4.046,0.531,200,4.053,3.989,4.095,4.5,65.0,4.133,0.552,200,0.087
psy_insight,3.605,0.573,200,3.7,3.646,3.471,9.5,25.0,3.605,0.577,200,-0.0
psydial,4.182,0.273,200,4.146,4.151,4.249,0.5,83.0,4.325,0.291,200,0.143
simpsydial,4.335,0.181,200,4.333,4.435,4.238,0.0,99.0,4.433,0.201,200,0.097
smile,4.166,0.369,199,4.158,4.158,4.182,2.01,80.402,4.318,0.365,199,0.153
soulchat,3.992,0.3,200,3.937,3.942,4.096,0.5,52.5,4.164,0.265,200,0.172
