dataset,n,mean,sd,median,p_lt3,p_ge4,prov
esconv,200,1.798,0.359,1.75,100.0,0.0,real
kokorochat,200,2.917,0.497,2.933,53.5,1.0,real
psy_insight,200,3.364,0.886,3.492,30.0,27.5,real
annomi,112,3.621,1.079,3.9,27.679,46.429,semi-real
psydial,200,2.481,0.392,2.5,92.0,0.0,semi-real
smile,199,2.321,0.422,2.317,94.975,0.0,semi-synthetic
soulchat,200,2.191,0.332,2.217,99.0,0.0,semi-synthetic
cpsycoun,200,2.285,0.412,2.3,95.0,0.0,semi-synthetic
cactus,200,3.376,0.267,3.383,8.5,1.0,fully-synthetic
simpsydial,200,3.188,0.362,3.25,23.5,0.0,fully-synthetic
kmi,200,2.653,0.265,2.675,91.0,0.0,fully-synthetic
