dataset,CAC,EPC,AR,TRA,ASCQ,EPC_minus_rest
esconv,1.755,1.612,1.855,2.068,1.702,-0.233
kokorochat,2.75,3.182,2.874,3.13,2.647,0.332
psy_insight,3.266,3.637,3.145,3.188,3.584,0.341
annomi,3.478,3.669,3.443,3.576,3.938,0.06
psydial,2.356,3.0,2.262,2.722,2.067,0.648
smile,2.17,2.674,2.138,2.407,2.215,0.442
soulchat,2.026,2.551,1.968,2.271,2.138,0.45
cpsycoun,2.11,2.79,1.996,2.222,2.307,0.631
cactus,3.36,4.11,3.178,3.419,2.815,0.917
simpsydial,2.949,3.792,2.962,3.336,2.901,0.755
kmi,2.364,3.95,2.369,2.622,1.958,1.622
