dataset,r_cl_ge,r_cl_gp,r_ge_gp,mean_pairwise_r,ICC2k,n
esconv,0.712,0.732,0.671,0.705,0.525,200
kokorochat,0.614,0.678,0.644,0.645,0.73,200
psy_insight,0.716,0.774,0.647,0.712,0.75,200
annomi,0.856,0.891,0.796,0.848,0.864,112
psydial,0.531,0.703,0.639,0.624,0.613,200
smile,0.661,0.726,0.665,0.684,0.596,199
soulchat,0.598,0.695,0.688,0.66,0.484,200
cpsycoun,0.736,0.757,0.754,0.749,0.616,200
cactus,0.483,0.486,0.483,0.484,0.563,200
simpsydial,0.649,0.742,0.727,0.706,0.72,200
kmi,0.62,0.669,0.641,0.643,0.584,200
