dataset,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
esconv,3.904,3.889,3.998,3.857,4.076,3.956,4.002,4.104,4.093,3.958,4.068,4.2
kokorochat,4.088,4.06,4.2,3.858,3.939,3.954,4.13,3.929,4.128,3.854,4.122,4.274
psy_insight,3.717,3.713,3.699,3.663,3.622,3.6,3.843,3.515,3.401,3.287,3.353,3.843
annomi,3.906,3.881,3.812,3.76,3.855,3.702,3.902,3.618,3.649,3.483,3.626,3.929
psydial,4.194,4.12,4.248,4.023,4.114,4.13,4.248,4.11,4.202,4.077,4.212,4.506
smile,4.143,4.171,4.182,4.128,4.215,4.105,4.184,4.116,4.161,4.091,4.121,4.348
soulchat,3.938,3.96,3.957,3.894,3.941,3.87,4.006,3.951,4.104,3.954,4.087,4.239
cpsycoun,3.557,3.489,3.572,3.279,3.119,3.094,3.589,3.145,3.659,3.197,3.374,3.918
cactus,4.326,4.482,4.541,4.292,4.597,4.211,4.543,4.068,4.074,3.787,4.063,4.497
simpsydial,4.218,4.417,4.398,4.297,4.765,4.28,4.467,4.228,4.154,4.092,4.123,4.582
kmi,4.25,4.253,4.393,4.066,4.006,3.976,4.297,4.057,3.98,3.709,3.934,4.129
