dataset,n_valid,v_mean,v_std,nec,happy,rise,recov,co_v_mean,lexcov,cli_tok,co_tok,prov,co_minus_cli_v
esconv,200,0.1659,0.1392,0.0817,77.5,0.0194,0.0191,0.1754,0.6995,222.34,264.75,real,0.0095
kokorochat,200,0.1776,0.1367,0.0477,74.5,0.019,0.0186,0.1731,0.6755,457.675,646.935,real,-0.0045
psy_insight,141,0.1527,0.1173,-0.0001,49.6454,0.0167,0.0164,0.1422,0.6793,77.04,93.245,real,-0.0105
annomi,110,0.1599,0.1334,0.0271,64.5455,0.0187,0.0181,0.1377,0.6554,402.2589,475.4375,semi-real,-0.0222
psydial,200,0.1646,0.1424,0.0562,84.0,0.0193,0.0189,0.1735,0.694,875.835,745.835,semi-real,0.0089
smile,198,0.1629,0.142,0.0865,79.2929,0.0194,0.019,0.1817,0.69,259.885,406.63,semi-synthetic,0.0188
soulchat,200,0.1551,0.1439,0.076,76.0,0.0201,0.0197,0.1942,0.6737,181.375,324.165,semi-synthetic,0.0391
cpsycoun,182,0.1406,0.1315,0.0172,59.3407,0.0189,0.0181,0.174,0.662,89.15,170.4,semi-synthetic,0.0334
cactus,200,0.1463,0.1384,0.0494,72.5,0.0191,0.0187,0.1792,0.6915,378.51,441.155,fully-synthetic,0.0329
simpsydial,200,0.1664,0.1381,0.085,88.0,0.0189,0.0185,0.1985,0.6882,415.64,556.125,fully-synthetic,0.0321
kmi,200,0.1823,0.1284,0.0763,74.5,0.018,0.0178,0.182,0.7079,122.825,128.975,fully-synthetic,-0.0003
