dataset,A_overall,A_TRA,A_ASCQ,A_EPC,B_total,B_bond,C_nec,C_happy,C_vstd,C_co_minus_cli,tokens,prov
esconv,1.7985,2.0683333333333334,1.7025,1.6116666666666666,4.007106481481482,4.078888888888889,0.08173820686137186,0.775,0.13917684422973664,0.009529504395036775,487.09,real
kokorochat,2.9165416666666664,3.130208333333333,2.6466666666666665,3.182083333333333,4.045625,4.094722222222222,0.04767388179483273,0.745,0.13666907569678738,-0.004561957688532209,1104.61,real
psy_insight,3.364,3.1879166666666667,3.584166666666667,3.637083333333333,3.6053703703703706,3.4706944444444447,-0.00014158665618295134,0.49645390070921985,0.11731271966512519,-0.010438914385977188,170.285,real
annomi,3.620833333333333,3.575892857142857,3.9375,3.6688988095238098,3.760251322751323,3.671626984126984,0.027083361969190093,0.6454545454545455,0.13344706488056637,-0.022190992596471087,877.6964285714286,semi-real
psydial,2.4814166666666666,2.7216666666666662,2.067083333333333,3.0004166666666663,4.182060185185185,4.249236111111111,0.0561906161804702,0.84,0.14241067454187725,0.008921066611985856,1621.67,semi-real
smile,2.320686767169179,2.4066164154103853,2.2148241206030153,2.6742043551088774,4.165782616787642,4.181532663316583,0.08691452488205233,0.7918781725888325,0.14200872289934838,0.0187066303770127,668.4020100502513,semi-synthetic
soulchat,2.19075,2.270833333333333,2.1375,2.55125,3.9917592592592595,4.09625,0.07598193608574016,0.76,0.1439126202177589,0.039086751143130594,505.54,semi-synthetic
cpsycoun,2.285,2.222083333333333,2.3066666666666666,2.7904166666666663,3.4177546296296297,3.5384722222222225,0.017154063487830322,0.5934065934065934,0.13149486646185643,0.03341310680752671,259.55,semi-synthetic
cactus,3.3760833333333333,3.41875,2.814583333333333,4.109583333333333,4.2901851851851855,4.105555555555555,0.04937625797900641,0.725,0.13837448588165718,0.03297284180949872,819.665,fully-synthetic
simpsydial,3.1878333333333337,3.335833333333333,2.90125,3.791666666666667,4.335208333333333,4.237777777777778,0.08501421814733823,0.88,0.13805563249163927,0.03202259581823791,971.765,fully-synthetic
kmi,2.6527499999999997,2.6225,1.958333333333333,3.950416666666667,4.0875462962962965,3.9380555555555556,0.07632778921150556,0.745,0.1284089541384758,-0.000299422230795765,251.8,fully-synthetic
