,advice/directive,boundary/self-disclosure,no risk assessment,premature/superficial,formulaic/templated,over-reassurance/sycophancy,hallucination/fabrication,good attunement
esconv,66.8,83.0,24.8,54.5,52.2,23.0,56.5,19.2
kmi,32.0,62.0,17.2,73.0,98.2,2.0,9.2,19.8
cactus,41.0,58.8,13.2,51.8,94.5,3.8,21.8,23.8
soulchat,89.5,58.0,27.8,63.0,93.5,26.0,18.0,20.8
smile,84.9,43.2,25.9,60.6,89.9,22.6,25.4,25.4
annomi,36.2,24.6,7.6,16.5,86.6,1.8,13.4,33.9
kokorochat,47.2,42.5,27.0,41.5,89.2,5.2,22.5,29.5
psy_insight,19.8,52.2,8.5,15.8,85.5,1.2,12.2,38.2
psydial,31.0,46.0,21.5,42.8,93.2,1.2,54.2,24.5
cpsycoun,82.8,54.2,34.2,56.8,95.2,12.8,20.5,39.0
simpsydial,53.2,39.8,24.0,61.8,98.0,15.0,13.5,24.8
