dataset,n,dimA_mean,dimA_lo,dimA_hi,dimB_mean,dimB_lo,dimB_hi,nec_mean,nec_lo,nec_hi,tone_mean,tone_lo,tone_hi,happy_mean,happy_lo,happy_hi
annomi,112,3.6208,3.4198,3.8185,3.7603,3.582,3.926,0.0271,0.0107,0.0436,0.1377,0.1311,0.1443,0.6455,0.5545,0.7364
cactus,200,3.3761,3.339,3.4135,4.2902,4.2443,4.3361,0.0494,0.0386,0.0603,0.1792,0.1761,0.1824,0.725,0.665,0.785
psy_insight,200,3.364,3.2397,3.4858,3.6054,3.5251,3.6838,-0.0001,-0.0229,0.0226,0.1422,0.1329,0.1513,0.4965,0.4113,0.5816
simpsydial,200,3.1878,3.1373,3.2371,4.3352,4.3108,4.3606,0.085,0.0746,0.0956,0.1985,0.1951,0.2019,0.88,0.835,0.925
kokorochat,200,2.9165,2.8489,2.9879,4.0456,3.9715,4.118,0.0477,0.0376,0.0582,0.1731,0.1695,0.1766,0.745,0.685,0.805
kmi,200,2.6527,2.6164,2.6883,4.0875,4.06,4.1151,0.0763,0.0589,0.0936,0.182,0.1752,0.1887,0.745,0.685,0.805
psydial,200,2.4814,2.4281,2.536,4.1821,4.1423,4.218,0.0562,0.0471,0.0654,0.1735,0.1696,0.1773,0.84,0.79,0.89
smile,199,2.3207,2.2612,2.3798,4.1658,4.1128,4.2156,0.0869,0.0724,0.1016,0.1817,0.1764,0.1868,0.7919,0.731,0.8477
cpsycoun,200,2.285,2.2283,2.3424,3.4178,3.3701,3.4659,0.0172,-0.0043,0.0385,0.174,0.1673,0.1805,0.5934,0.522,0.6648
soulchat,200,2.1907,2.1436,2.2369,3.9918,3.9497,4.0321,0.076,0.0595,0.0932,0.1942,0.1899,0.1983,0.76,0.7,0.82
esconv,200,1.7985,1.7501,1.848,4.0071,3.9346,4.0757,0.0817,0.0669,0.0966,0.1754,0.1703,0.1807,0.775,0.7199,0.83
