dataset,iid,provenance,counselor_words,dimA_overall,dimB_total3,client_valence_nec,client_valence_happy_ending,client_valence_emo_std,counselor_valence_emo_mean,valence_variability_ratio,client_n_tokens,counselor_n_tokens,total_tokens
annomi,annomi_0,semi-real,human,4.933333333333334,4.601851851851851,-0.08096245720510417,0.0,0.15373336871361268,0.14224982288583982,1.005,267.0,540.0,807.0
annomi,annomi_1,semi-real,human,4.833333333333333,3.759259259259259,0.03342029346622369,1.0,0.13989902724960965,0.10545106885719845,1.1363,225.0,580.0,805.0
annomi,annomi_10,semi-real,human,1.8,2.592592592592593,0.112421875,1.0,0.10015258514775004,0.11836171875000001,0.9431,133.0,105.0,238.0
annomi,annomi_101,semi-real,human,3.816666666666667,4.361111111111111,0.0191605886243386,1.0,0.1126085854560486,0.11163859190988222,0.997,310.0,629.0,939.0
annomi,annomi_102,semi-real,human,1.3333333333333333,1.8055555555555556,-0.057863330853174605,0.0,0.09112054180658678,0.1608919561540463,1.0196,170.0,253.0,423.0
annomi,annomi_103,semi-real,human,3.85,4.185185185185184,-0.01761504329004325,0.0,0.11993283219722913,0.10262831525015068,1.4299,121.0,88.0,209.0
annomi,annomi_104,semi-real,human,4.466666666666667,4.444444444444444,0.07584864951356887,1.0,0.12626635840495282,0.1445316933066933,0.9596,321.0,581.0,902.0
annomi,annomi_105,semi-real,human,3.8499999999999996,4.499999999999999,-0.021490431746031796,0.0,0.12826916106594685,0.18936281179138323,0.9433,638.0,198.0,836.0
annomi,annomi_106,semi-real,human,1.6666666666666667,2.0277777777777777,0.22317344173441736,1.0,0.14908229300523781,0.08954196347031963,1.0914,218.0,374.0,592.0
annomi,annomi_107,semi-real,human,2.2333333333333334,1.4629629629629628,0.04586959706959706,1.0,0.09669057440009228,0.10669155877404725,0.923,143.0,226.0,369.0
annomi,annomi_108,semi-real,human,3.283333333333333,4.657407407407407,-0.015310934065934062,0.0,0.13042911661634046,0.18473090420406715,1.1337,660.0,948.0,1608.0
annomi,annomi_11,semi-real,human,4.183333333333333,3.3055555555555554,0.1582751488095238,1.0,0.0697193516130556,0.19019144497650087,0.906,51.0,188.0,239.0
annomi,annomi_110,semi-real,human,3.8333333333333335,4.055555555555555,-0.12995212223778396,0.0,0.14108422696575398,0.18452571464483228,1.1034,1031.0,451.0,1482.0
annomi,annomi_111,semi-real,human,4.8500000000000005,3.9629629629629624,-0.07584891304347832,0.0,0.15500344704750896,0.1219826141248229,1.0872,355.0,670.0,1025.0
annomi,annomi_112,semi-real,human,3.8166666666666664,4.814814814814815,0.09277805555555557,1.0,0.12988840451931272,0.16771155921169967,1.0003,1009.0,543.0,1552.0
annomi,annomi_113,semi-real,human,5.05,4.157407407407407,0.03897196102069522,1.0,0.15214373214048524,0.11104392871643178,1.3444,405.0,830.0,1235.0
annomi,annomi_114,semi-real,human,4.233333333333333,4.148148148148148,0.017184299648612622,1.0,0.12366543712417483,0.158806772875817,0.9407,664.0,349.0,1013.0
annomi,annomi_115,semi-real,human,2.15,1.8703703703703705,0.07135641923436048,1.0,0.1117438693227389,0.12920459706959705,0.745,182.0,334.0,516.0
annomi,annomi_117,semi-real,human,4.333333333333333,4.601851851851852,0.017946364847642254,1.0,0.12657169921844533,0.12862282831572347,1.1416,697.0,667.0,1364.0
annomi,annomi_118,semi-real,human,1.5333333333333332,1.0,0.0693403073286052,1.0,0.13862339557980624,0.14744565031982942,0.9591,245.0,344.0,589.0
annomi,annomi_119,semi-real,human,4.616666666666667,4.5,0.061581137909709344,1.0,0.12691640091912093,0.1808400947119179,1.2815,781.0,552.0,1333.0
annomi,annomi_12,semi-real,human,3.383333333333333,3.7407407407407405,0.09080977982590885,1.0,0.1292748771602999,0.13548251473100323,0.9243,319.0,836.0,1155.0
annomi,annomi_120,semi-real,human,4.033333333333333,4.787037037037037,0.019931784188034207,1.0,0.10186317999785244,0.2111297541994144,0.8734,271.0,524.0,795.0
annomi,annomi_122,semi-real,human,3.5500000000000003,3.3333333333333335,-0.052793668831168844,0.0,0.12046467809028137,0.15165469289164943,1.55,122.0,101.0,223.0
annomi,annomi_123,semi-real,human,1.9333333333333336,1.5740740740740742,0.0700546853244222,1.0,0.13571874463809075,0.07678983965836758,0.9245,295.0,600.0,895.0
annomi,annomi_124,semi-real,human,4.666666666666667,4.7592592592592595,0.01677621082621089,1.0,0.1109642081608022,0.20031988336676324,0.9657,988.0,650.0,1638.0
annomi,annomi_125,semi-real,human,2.5000000000000004,3.388888888888889,0.10188244047619044,1.0,0.09302344631316734,0.04961673611111111,0.8792,53.0,49.0,102.0
annomi,annomi_126,semi-real,human,1.9000000000000001,4.333333333333333,-0.06477402777777772,0.0,0.16413096232074076,0.15788168273217246,1.0571,309.0,1081.0,1390.0
annomi,annomi_127,semi-real,human,4.633333333333334,4.018518518518518,0.1136659297052154,1.0,0.1454314015940403,0.09848776348106601,1.2774,499.0,442.0,941.0
annomi,annomi_128,semi-real,human,4.5,4.083333333333333,0.10739824612972756,1.0,0.12936673915462402,0.13334751518056887,0.903,416.0,605.0,1021.0
annomi,annomi_129,semi-real,human,4.45,3.0277777777777772,0.008185795685795694,1.0,0.14964605926212293,0.23902987329434697,1.2783,204.0,237.0,441.0
annomi,annomi_13,semi-real,human,4.466666666666666,3.9814814814814814,0.09292037037037032,1.0,0.16060003307500562,0.12269113756613756,0.928,103.0,273.0,376.0
annomi,annomi_131,semi-real,human,3.8333333333333335,4.694444444444444,0.03965040784832449,1.0,0.14371815490645543,0.11212432678311499,1.2081,371.0,925.0,1296.0
annomi,annomi_132,semi-real,human,4.416666666666667,4.685185185185186,-0.10531591591591591,0.0,0.15199358010664654,0.148108646899256,0.9687,383.0,600.0,983.0
annomi,annomi_14,semi-real,human,4.533333333333334,3.935185185185185,0.043781020131629905,1.0,0.12357954754065001,0.1400808841978945,1.2585,216.0,300.0,516.0
annomi,annomi_15,semi-real,human,2.483333333333333,2.0277777777777777,0.0973464676034348,1.0,0.141724503408006,0.07411078939909296,1.2504,316.0,289.0,605.0
annomi,annomi_16,semi-real,human,4.233333333333333,4.037037037037037,-0.1351494639376218,0.0,0.17892762929913794,0.16036068703590164,1.9087,294.0,242.0,536.0
annomi,annomi_17,semi-real,human,2.6666666666666665,2.342592592592593,0.21695602360602365,1.0,0.13204408177024446,0.1507962309398825,0.9058,206.0,517.0,723.0
annomi,annomi_18,semi-real,human,3.5666666666666664,3.1203703703703702,0.06408850308641978,1.0,0.17136221136944677,0.14236063749742323,1.4979,549.0,1549.0,2098.0
annomi,annomi_19,semi-real,human,4.3,3.6666666666666665,0.11830198412698414,1.0,0.12345598955462711,0.19470018518518514,1.0463,131.0,39.0,170.0
annomi,annomi_2,semi-real,human,3.8333333333333335,4.731481481481481,0.10791784511784512,1.0,0.14863401940442483,0.14812486843222136,1.1881,340.0,570.0,910.0
annomi,annomi_20,semi-real,human,5.333333333333333,4.064814814814814,0.15154325011558026,1.0,0.13746914318576592,0.11803576608187134,1.077,527.0,484.0,1011.0
annomi,annomi_22,semi-real,human,3.516666666666667,4.444444444444444,-0.017280240973764266,0.0,0.1353680322656773,0.18862577766658326,1.2616,975.0,580.0,1555.0
annomi,annomi_23,semi-real,human,4.133333333333334,3.7407407407407405,-0.05794070085470085,0.0,0.11615223762204202,0.1107670902382044,0.9083,1635.0,736.0,2371.0
annomi,annomi_24,semi-real,human,4.233333333333333,4.166666666666667,0.1123375992063492,1.0,0.1465479872318092,0.12570599247829214,1.0661,333.0,296.0,629.0
