dataset,dimA,dimB,TRA,skill_core,A_minus_TRA,nec,happy,tone,tokens
annomi,3.6208,3.7603,3.5759,3.4609,3.6321,0.0271,0.6455,0.1377,877.6964
cactus,3.3761,4.2902,3.4188,3.2688,3.3654,0.0494,0.725,0.1792,819.665
cpsycoun,2.285,3.4178,2.2221,2.0529,2.3007,0.0172,0.5934,0.174,259.55
esconv,1.7985,4.0071,2.0683,1.805,1.731,0.0817,0.775,0.1754,487.09
kmi,2.6527,4.0875,2.6225,2.3662,2.6603,0.0763,0.745,0.182,251.8
kokorochat,2.9165,4.0456,3.1302,2.8119,2.8631,0.0477,0.745,0.1731,1104.61
psy_insight,3.364,3.6054,3.1879,3.2054,3.408,-0.0001,0.4965,0.1422,170.285
psydial,2.4814,4.1821,2.7217,2.309,2.4214,0.0562,0.84,0.1735,1621.67
simpsydial,3.1878,4.3352,3.3358,2.9552,3.1508,0.085,0.88,0.1985,971.765
smile,2.3207,4.1658,2.4066,2.1539,2.2992,0.0869,0.7919,0.1817,668.402
soulchat,2.1908,3.9918,2.2708,1.9971,2.1707,0.076,0.76,0.1942,505.54
