dataset,x,y,n,pearson,spearman
annomi,dimA_overall,dimB_total,112,0.7031,0.4902
annomi,dimA_overall,client_valence_nec,110,-0.0515,-0.0167
annomi,dimB_total,client_valence_nec,110,-0.1713,-0.1631
annomi,dimA_overall,client_valence_emo_std,110,0.154,0.1093
annomi,dimB_total,client_valence_emo_std,110,0.0766,0.0301
annomi,dimA_overall,total_tokens,112,0.2877,0.2819
annomi,dimB_total,total_tokens,112,0.404,0.5175
annomi,client_valence_nec,counselor_valence_emo_mean,110,-0.1068,-0.1583
cactus,dimA_overall,dimB_total,200,0.1398,0.1582
cactus,dimA_overall,client_valence_nec,200,-0.0538,-0.0306
cactus,dimB_total,client_valence_nec,200,0.4526,0.4681
cactus,dimA_overall,client_valence_emo_std,200,0.0046,0.0015
cactus,dimB_total,client_valence_emo_std,200,0.2805,0.2907
cactus,dimA_overall,total_tokens,200,0.0175,0.0467
cactus,dimB_total,total_tokens,200,0.1154,0.1423
cactus,client_valence_nec,counselor_valence_emo_mean,200,0.0302,0.0729
cpsycoun,dimA_overall,dimB_total,200,0.3794,0.4103
cpsycoun,dimA_overall,client_valence_nec,182,-0.1405,-0.1582
cpsycoun,dimB_total,client_valence_nec,182,0.0547,0.0553
cpsycoun,dimA_overall,client_valence_emo_std,182,-0.0954,-0.0986
cpsycoun,dimB_total,client_valence_emo_std,182,0.112,0.1063
cpsycoun,dimA_overall,total_tokens,200,-0.0696,-0.0572
cpsycoun,dimB_total,total_tokens,200,0.4306,0.4066
cpsycoun,client_valence_nec,counselor_valence_emo_mean,181,-0.1059,-0.1213
esconv,dimA_overall,dimB_total,200,0.5374,0.529
esconv,dimA_overall,client_valence_nec,200,0.1416,0.1409
esconv,dimB_total,client_valence_nec,200,0.2036,0.2204
esconv,dimA_overall,client_valence_emo_std,200,-0.0143,-0.0273
esconv,dimB_total,client_valence_emo_std,200,-0.1193,-0.1076
esconv,dimA_overall,total_tokens,200,0.065,0.0712
esconv,dimB_total,total_tokens,200,0.2967,0.321
esconv,client_valence_nec,counselor_valence_emo_mean,200,-0.0288,-0.0672
kmi,dimA_overall,dimB_total,200,0.2289,0.2343
kmi,dimA_overall,client_valence_nec,200,0.0402,0.0521
kmi,dimB_total,client_valence_nec,200,0.2379,0.2192
kmi,dimA_overall,client_valence_emo_std,200,0.0586,0.0547
kmi,dimB_total,client_valence_emo_std,200,0.0624,0.0734
kmi,dimA_overall,total_tokens,200,0.1472,0.1913
kmi,dimB_total,total_tokens,200,0.23,0.2204
kmi,client_valence_nec,counselor_valence_emo_mean,200,0.1867,0.2142
kokorochat,dimA_overall,dimB_total,200,0.5909,0.5715
kokorochat,dimA_overall,client_valence_nec,200,0.0112,0.001
kokorochat,dimB_total,client_valence_nec,200,0.1655,0.1721
kokorochat,dimA_overall,client_valence_emo_std,200,-0.0764,-0.0838
kokorochat,dimB_total,client_valence_emo_std,200,-0.0187,-0.0041
kokorochat,dimA_overall,total_tokens,200,0.383,0.4261
kokorochat,dimB_total,total_tokens,200,0.4999,0.5906
kokorochat,client_valence_nec,counselor_valence_emo_mean,200,-0.0222,-0.0568
psy_insight,dimA_overall,dimB_total,200,0.4723,0.4582
psy_insight,dimA_overall,client_valence_nec,141,0.0522,0.0745
psy_insight,dimB_total,client_valence_nec,141,0.0411,0.0387
psy_insight,dimA_overall,client_valence_emo_std,141,0.1125,0.1178
psy_insight,dimB_total,client_valence_emo_std,141,0.1632,0.2388
psy_insight,dimA_overall,total_tokens,200,0.2645,0.3083
psy_insight,dimB_total,total_tokens,200,0.4306,0.5568
psy_insight,client_valence_nec,counselor_valence_emo_mean,125,0.0763,0.1097
psydial,dimA_overall,dimB_total,200,0.1273,0.1075
psydial,dimA_overall,client_valence_nec,200,-0.0649,-0.0644
psydial,dimB_total,client_valence_nec,200,0.1383,0.1717
psydial,dimA_overall,client_valence_emo_std,200,0.048,0.0149
psydial,dimB_total,client_valence_emo_std,200,-0.0362,0.0469
psydial,dimA_overall,total_tokens,200,-0.0822,-0.1129
psydial,dimB_total,total_tokens,200,0.2688,0.3077
psydial,client_valence_nec,counselor_valence_emo_mean,200,0.1016,0.1707
simpsydial,dimA_overall,dimB_total,200,0.1951,0.1717
simpsydial,dimA_overall,client_valence_nec,200,-0.146,-0.1382
simpsydial,dimB_total,client_valence_nec,200,0.1166,0.1092
simpsydial,dimA_overall,client_valence_emo_std,200,-0.051,-0.0494
simpsydial,dimB_total,client_valence_emo_std,200,0.0774,0.0701
simpsydial,dimA_overall,total_tokens,200,-0.1365,-0.1263
simpsydial,dimB_total,total_tokens,200,0.3948,0.3614
simpsydial,client_valence_nec,counselor_valence_emo_mean,200,0.0087,0.0303
smile,dimA_overall,dimB_total,199,0.2487,0.1457
smile,dimA_overall,client_valence_nec,197,-0.0017,0.0127
smile,dimB_total,client_valence_nec,197,0.2465,0.3082
smile,dimA_overall,client_valence_emo_std,197,-0.1625,-0.1295
smile,dimB_total,client_valence_emo_std,197,0.1462,0.1809
smile,dimA_overall,total_tokens,199,-0.2189,-0.2163
smile,dimB_total,total_tokens,199,0.1308,0.1247
smile,client_valence_nec,counselor_valence_emo_mean,197,0.0479,0.0867
soulchat,dimA_overall,dimB_total,200,0.448,0.3969
soulchat,dimA_overall,client_valence_nec,200,-0.1209,-0.0826
soulchat,dimB_total,client_valence_nec,200,0.2405,0.2605
soulchat,dimA_overall,client_valence_emo_std,200,-0.2214,-0.269
soulchat,dimB_total,client_valence_emo_std,200,0.0511,0.0714
soulchat,dimA_overall,total_tokens,200,-0.0928,-0.0643
soulchat,dimB_total,total_tokens,200,0.047,0.0914
soulchat,client_valence_nec,counselor_valence_emo_mean,200,0.0274,0.0337
