dataset,dimA_overall,dimB_total,client_valence_nec,client_valence_emo_std,client_valence_happy_ending
annomi,3.6208,3.7603,0.0271,0.1334,0.6455
cactus,3.3761,4.2902,0.0494,0.1384,0.725
cpsycoun,2.285,3.4178,0.0172,0.1315,0.5934
esconv,1.7985,4.0071,0.0817,0.1392,0.775
kmi,2.6527,4.0875,0.0763,0.1284,0.745
kokorochat,2.9165,4.0456,0.0477,0.1367,0.745
psy_insight,3.364,3.6053,-0.0001,0.1173,0.4965
psydial,2.4814,4.3247,0.0562,0.1424,0.84
simpsydial,3.1878,4.4326,0.085,0.1381,0.88
smile,2.3207,4.3184,0.0865,0.142,0.7929
soulchat,2.1908,3.9918,0.076,0.1439,0.76
