dataset,dimA,dimA_sd,total_3j,total_2j,client_valence_nec,client_valence_happy_ending,counselor_valence_emo_mean,client_valence_emo_std,group
annomi,3.621,1.079,3.76,3.803,0.0271,0.6455,0.1377,0.1334,real
cactus,3.376,0.267,4.29,4.358,0.0494,0.725,0.1792,0.1384,simulator
cpsycoun,2.285,0.412,3.418,3.554,0.0172,0.5934,0.174,0.1315,llm-rewrite
esconv,1.798,0.359,4.007,4.139,0.0817,0.775,0.1754,0.1392,human-roleplay
kmi,2.653,0.265,4.088,4.161,0.0763,0.745,0.182,0.1284,simulator
kokorochat,2.917,0.497,4.046,4.133,0.0477,0.745,0.1731,0.1367,human-roleplay
psy_insight,3.364,0.886,,3.605,-0.0001,0.4965,0.1422,0.1173,unknown
psydial,2.481,0.392,,4.325,0.0562,0.84,0.1735,0.1424,llm-rewrite
simpsydial,3.188,0.362,,4.433,0.085,0.88,0.1985,0.1381,simulator
smile,2.321,0.422,,4.318,0.0865,0.7929,0.1817,0.142,llm-rewrite
soulchat,2.191,0.332,3.992,4.164,0.076,0.76,0.1942,0.1439,llm-rewrite
