dataset,nA,nB,nC,AnB,AnC,sampleA,sampleC
annomi,112,112,112,112,112,annomi_73,annomi_73
cactus,200,200,200,200,200,cactus_190,cactus_190
cpsycoun,200,200,200,200,200,cpscycoun_self-growth_5_04,cpscycoun_self-growth_5_04
esconv,200,200,200,200,200,esconv_94,esconv_94
kmi,200,200,200,200,200,kmi_409,kmi_409
kokorochat,200,200,200,200,200,kokorochat_3295,kokorochat_3295
psy_insight,200,200,200,200,200,psyinsight_000777,psyinsight_000777
psydial,200,200,200,200,200,psydial_62,psydial_62
simpsydial,200,200,200,200,200,simpsydial_682,simpsydial_682
smile,199,199,200,199,199,smile_9,smile_9
soulchat,200,200,200,200,200,soulchat_230429,soulchat_230429
