dataset,nA,nB,spearman_A_len,p_A_len,spearman_B_len,p_B_len
annomi,112,112,0.2819,0.0026,0.5175,0.0
cactus,200,200,0.0467,0.511,0.1423,0.0445
cpsycoun,200,200,-0.0572,0.4211,0.4066,0.0
esconv,200,200,0.0712,0.3167,0.321,0.0
kmi,200,200,0.1913,0.0066,0.2204,0.0017
kokorochat,200,200,0.4261,0.0,0.5906,0.0
psy_insight,200,200,0.3083,0.0,0.5568,0.0
psydial,200,200,-0.1129,0.1114,0.3077,0.0
simpsydial,200,200,-0.1263,0.0748,0.3614,0.0
smile,199,199,-0.2163,0.0022,0.1247,0.0794
soulchat,200,200,-0.0643,0.3653,0.0914,0.198
