dataset,rid,dimA_overall,dimB_total3,client_valence_nec,client_valence_emo_std,client_valence_happy_ending,client_n_tokens,counselor_n_tokens,counselor_valence_emo_mean,client_dominance_nec,client_arousal_emo_std,total_tokens,log_tokens
annomi,annomi_0,4.933333333333334,4.601851851851851,-0.0809624572051041,0.1537333687136126,0.0,267,540,0.1422498228858398,-0.0256415577342048,0.1050203655171286,807,6.694562058521095
annomi,annomi_1,4.833333333333333,3.7592592592592595,0.0334202934662236,0.1398990272496096,1.0,225,580,0.1054510688571984,0.1046583610188261,0.130768127365903,805,6.692083742506628
annomi,annomi_10,1.8,2.5925925925925926,0.112421875,0.10015258514775,1.0,133,105,0.11836171875,-0.0035925925925925,0.0816127821493388,238,5.476463551931511
annomi,annomi_101,3.816666666666667,4.361111111111112,0.0191605886243386,0.1126085854560486,1.0,310,629,0.1116385919098822,-0.0151419973544973,0.12086673894607,939,6.84587987526405
annomi,annomi_102,1.3333333333333333,1.8055555555555556,-0.0578633308531746,0.0911205418065867,0.0,170,253,0.1608919561540463,-0.0568035218253968,0.1160354786518221,423,6.049733455231958
annomi,annomi_103,3.85,4.185185185185184,-0.0176150432900432,0.1199328321972291,0.0,121,88,0.1026283152501506,-0.0318347763347763,0.0988303177609727,209,5.3471075307174685
annomi,annomi_104,4.466666666666667,4.444444444444445,0.0758486495135688,0.1262663584049528,1.0,321,581,0.1445316933066933,0.1298855158730159,0.1196695336017361,902,6.805722553416985
annomi,annomi_105,3.85,4.5,-0.0214904317460317,0.1282691610659468,0.0,638,198,0.1893628117913832,0.0157607682539682,0.1068751678981355,836,6.729824070489475
annomi,annomi_106,1.6666666666666667,2.027777777777778,0.2231734417344173,0.1490822930052378,1.0,218,374,0.0895419634703196,0.0982486643437862,0.0781274954502159,592,6.385194398997726
annomi,annomi_107,2.2333333333333334,1.462962962962963,0.045869597069597,0.0966905744000922,1.0,143,226,0.1066915587740472,0.1164123931623931,0.1240893005886821,369,5.91350300563827
annomi,annomi_108,3.283333333333333,4.657407407407407,-0.015310934065934,0.1304291166163404,0.0,660,948,0.1847309042040671,-0.0161571947496947,0.0899904479799437,1608,7.3833681469923835
annomi,annomi_11,4.183333333333333,3.3055555555555554,0.1582751488095238,0.0697193516130556,1.0,51,188,0.1901914449765008,0.1780002976190476,0.1478780498497401,239,5.480638923341991
annomi,annomi_110,3.8333333333333335,4.055555555555555,-0.1299521222377839,0.1410842269657539,0.0,1031,451,0.1845257146448322,-0.0673518246187363,0.0992280593424434,1482,7.301822342137932
annomi,annomi_111,4.8500000000000005,3.9629629629629632,-0.0758489130434783,0.1550034470475089,0.0,355,670,0.1219826141248229,-0.0866004025764894,0.1185658325799041,1025,6.933423025730715
annomi,annomi_112,3.8166666666666655,4.814814814814815,0.0927780555555555,0.1298884045193127,1.0,1009,543,0.1677115592116996,0.1001683472222222,0.120231518909914,1552,7.347943823148687
annomi,annomi_113,5.05,4.157407407407407,0.0389719610206952,0.1521437321404852,1.0,405,830,0.1110439287164317,0.025007720514366,0.1031672240170212,1235,7.119635638017636
annomi,annomi_114,4.233333333333333,4.148148148148148,0.0171842996486126,0.1236654371241748,1.0,664,349,0.158806772875817,0.0339917030170846,0.1170472053659077,1013,6.921658184151129
annomi,annomi_115,2.15,1.8703703703703702,0.0713564192343604,0.1117438693227389,1.0,182,334,0.129204597069597,0.0451187091503268,0.1146413609214978,516,6.248042874508429
annomi,annomi_117,4.333333333333333,4.601851851851852,0.0179463648476422,0.1265716992184453,1.0,697,667,0.1286228283157234,0.0302920953539566,0.096688295161086,1364,7.21890970761906
annomi,annomi_118,1.5333333333333332,1.0,0.0693403073286052,0.1386233955798062,1.0,245,344,0.1474456503198294,0.1324250675447483,0.114943607599593,589,6.380122536899765
annomi,annomi_119,4.616666666666667,4.5,0.0615811379097093,0.1269164009191209,1.0,781,552,0.1808400947119179,0.046840563801278,0.1109162951092403,1333,7.195937226475569
annomi,annomi_12,3.383333333333333,3.7407407407407405,0.0908097798259088,0.1292748771602999,1.0,319,836,0.1354825147310032,0.0887904569892473,0.1426973291882561,1155,7.052721049232323
annomi,annomi_120,4.033333333333333,4.787037037037037,0.0199317841880342,0.1018631799978524,1.0,271,524,0.2111297541994144,-0.0675090583028083,0.0972346491635902,795,6.679599185844383
annomi,annomi_122,3.5500000000000003,3.3333333333333335,-0.0527936688311688,0.1204646780902813,0.0,122,101,0.1516546928916494,-0.0419352813852813,0.1472599742867147,223,5.4116460518550396
annomi,annomi_123,1.9333333333333336,1.5740740740740744,0.0700546853244222,0.1357187446380907,1.0,295,600,0.0767898396583675,0.1354506961849067,0.0770920193996592,895,6.79794041297493
annomi,annomi_124,4.666666666666667,4.7592592592592595,0.0167762108262108,0.1109642081608022,1.0,988,650,0.2003198833667632,-0.0049554497354497,0.1044949402787101,1638,7.40184157874383
annomi,annomi_125,2.5000000000000004,3.388888888888889,0.1018824404761904,0.0930234463131673,1.0,53,49,0.0496167361111111,-0.0723660714285714,0.1211496853856979,102,4.634728988229636
annomi,annomi_126,1.9,4.333333333333333,-0.0647740277777777,0.1641309623207407,0.0,309,1081,0.1578816827321724,0.0023592592592592,0.1148815410133954,1390,7.237778191923443
annomi,annomi_127,4.633333333333334,4.018518518518518,0.1136659297052154,0.1454314015940403,1.0,499,442,0.098487763481066,0.0302600988014253,0.1208579282401881,941,6.848005274576363
annomi,annomi_128,4.5,4.083333333333333,0.1073982461297275,0.129366739154624,1.0,416,605,0.1333475151805688,0.0738391681363903,0.1003762617561992,1021,6.92951677076365
annomi,annomi_129,4.45,3.027777777777778,0.0081857956857956,0.1496460592621229,1.0,204,237,0.2390298732943469,0.0664452991452991,0.1072574641361688,441,6.091309882077698
annomi,annomi_13,4.466666666666666,3.9814814814814814,0.0929203703703703,0.1606000330750056,1.0,103,273,0.1226911375661375,0.2018970899470899,0.0888211247669626,376,5.932245187448011
annomi,annomi_131,3.8333333333333335,4.694444444444444,0.0396504078483244,0.1437181549064554,1.0,371,925,0.1121243267831149,-0.0236882936507936,0.1313160369096184,1296,7.167809184316444
annomi,annomi_132,4.416666666666667,4.685185185185186,-0.1053159159159159,0.1519935801066465,0.0,383,600,0.148108646899256,-0.0516892642642642,0.1256470530029974,983,6.891625897052253
annomi,annomi_14,4.533333333333334,3.935185185185185,0.0437810201316299,0.12357954754065,1.0,216,300,0.1400808841978945,0.0566888792102206,0.0832560237202381,516,6.248042874508429
annomi,annomi_15,2.483333333333333,2.027777777777778,0.0973464676034348,0.141724503408006,1.0,316,289,0.0741107893990929,-0.0373619242779078,0.1160239323186295,605,6.406879986069314
annomi,annomi_16,4.233333333333333,4.037037037037037,-0.1351494639376218,0.1789276292991379,0.0,294,242,0.1603606870359016,-0.0177135895293789,0.1202363035088004,536,6.285998094508865
annomi,annomi_17,2.6666666666666665,2.342592592592592,0.2169560236060236,0.1320440817702444,1.0,206,517,0.1507962309398825,0.2162387260887261,0.1213532136686094,723,6.584791392385716
annomi,annomi_18,3.5666666666666664,3.1203703703703707,0.0640885030864197,0.1713622113694467,1.0,549,1549,0.1423606374974232,0.0843898699294532,0.1351233696957159,2098,7.649216319820633
annomi,annomi_19,4.3,3.6666666666666665,0.1183019841269841,0.1234559895546271,1.0,131,39,0.1947001851851851,0.1356374503968254,0.1384320819342512,170,5.14166355650266
annomi,annomi_2,3.8333333333333335,4.731481481481482,0.1079178451178451,0.1486340194044248,1.0,340,570,0.1481248684322213,-0.0188069624819624,0.12736838761725,910,6.814542897259958
annomi,annomi_20,5.333333333333333,4.064814814814814,0.1515432501155802,0.1374691431857659,1.0,527,484,0.1180357660818713,0.0740963669286484,0.0999548334881825,1011,6.919683849847411
annomi,annomi_22,3.516666666666667,4.444444444444444,-0.0172802409737642,0.1353680322656773,0.0,975,580,0.1886257776665832,-0.0334691524796447,0.1135350098746335,1555,7.349873704738337
annomi,annomi_23,4.133333333333334,3.7407407407407405,-0.0579407008547008,0.116152237622042,0.0,1635,736,0.1107670902382044,-0.00044005006105,0.1060948500459438,2371,7.771488760117616
annomi,annomi_24,4.233333333333333,4.166666666666667,0.1123375992063492,0.1465479872318092,1.0,333,296,0.1257059924782921,0.0418124131944444,0.1173310011469798,629,6.4457198193855785
annomi,annomi_25,4.383333333333333,4.629629629629629,-0.1083101725875535,0.1528247012404387,0.0,324,291,0.1658206321062704,-0.0965267825648778,0.1100299333933937,615,6.423246963533519
annomi,annomi_26,2.85,2.5185185185185186,0.1875901587301587,0.1499155334445087,1.0,84,219,0.1160624659863945,0.0471473015873016,0.0825297706281527,303,5.717027701406222
annomi,annomi_28,3.233333333333333,4.083333333333333,0.0436799160853301,0.1357969107029558,1.0,794,709,0.094675171201814,0.0562554443433424,0.1156038489066376,1503,7.315883504509785
