dataset,n,mean,std,median,min,max,p25,p75,pct_lt2,pct_lt3,pct_ge4
annomi,112,3.621,1.079,3.9,1.1,5.333,2.842,4.45,13.393,27.679,46.429
cactus,200,3.376,0.267,3.383,2.483,4.1,3.2,3.567,0.0,8.5,1.0
cpsycoun,200,2.285,0.412,2.3,1.3,3.467,2.013,2.517,22.5,95.0,0.0
esconv,200,1.798,0.359,1.75,1.0,2.983,1.533,2.05,71.0,100.0,0.0
kmi,200,2.653,0.265,2.675,1.8,3.3,2.467,2.817,1.0,91.0,0.0
kokorochat,200,2.917,0.497,2.933,1.7,4.1,2.596,3.217,4.0,53.5,1.0
psy_insight,200,3.364,0.886,3.492,1.067,5.05,2.733,4.033,10.0,30.0,27.5
psydial,200,2.481,0.392,2.5,1.367,3.467,2.25,2.75,11.5,92.0,0.0
simpsydial,200,3.188,0.362,3.25,1.833,3.817,3.046,3.433,0.5,23.5,0.0
smile,199,2.321,0.422,2.317,1.3,3.583,2.033,2.642,21.608,94.975,0.0
soulchat,200,2.191,0.332,2.217,1.367,3.3,1.95,2.421,29.5,99.0,0.0
