dataset,judge,n,mean,pct_lt3,pct_ge4
annomi,claude,112,3.382,29.464,29.464
annomi,gemini,112,4.051,25.893,59.821
annomi,gpt,112,3.429,25.893,27.679
cactus,claude,200,3.266,13.0,0.0
cactus,gemini,200,3.303,24.5,10.5
cactus,gpt,200,3.559,0.5,0.0
cpsycoun,claude,200,2.204,97.5,0.0
cpsycoun,gemini,200,1.862,95.5,0.0
cpsycoun,gpt,200,2.788,64.0,0.0
esconv,claude,200,1.747,99.0,0.0
esconv,gemini,200,1.318,100.0,0.0
esconv,gpt,200,2.331,94.5,0.0
kmi,claude,200,2.524,96.0,0.0
kmi,gemini,200,2.443,89.5,0.0
kmi,gpt,200,2.991,43.0,0.0
kokorochat,claude,200,2.95,46.0,0.0
kokorochat,gemini,200,2.75,57.0,10.5
kokorochat,gpt,200,3.05,36.0,0.0
psy_insight,claude,200,3.134,36.0,17.0
psy_insight,gemini,200,3.826,30.0,54.0
psy_insight,gpt,200,3.132,31.5,5.5
psydial,claude,200,2.538,87.0,0.0
psydial,gemini,200,2.074,93.5,0.0
psydial,gpt,200,2.831,61.5,0.0
simpsydial,claude,200,2.951,43.5,0.0
simpsydial,gemini,200,3.286,25.0,15.5
simpsydial,gpt,200,3.326,11.0,0.0
smile,claude,199,2.295,94.975,0.0
smile,gemini,199,1.87,95.477,0.503
smile,gpt,199,2.796,63.819,0.0
soulchat,claude,200,2.085,100.0,0.0
soulchat,gemini,200,1.762,98.5,0.0
soulchat,gpt,200,2.724,72.5,0.0
