dataset,CAC_mean,CAC_std,EPC_mean,EPC_std,AR_mean,AR_std,TRA_mean,TRA_std,ACQ_mean,ACQ_std,overall_mean,overall_std
annomi,3.478,1.108,3.669,1.16,3.443,1.129,3.576,1.252,3.938,1.036,3.621,1.079
cactus,3.36,0.368,4.11,0.326,3.178,0.325,3.419,0.248,2.815,0.323,3.376,0.267
cpsycoun,2.11,0.465,2.79,0.705,1.996,0.414,2.222,0.354,2.307,0.359,2.285,0.412
esconv,1.755,0.383,1.612,0.465,1.855,0.418,2.068,0.422,1.702,0.391,1.798,0.359
kmi,2.364,0.311,3.95,0.25,2.369,0.313,2.622,0.298,1.958,0.323,2.653,0.265
kokorochat,2.75,0.566,3.182,0.674,2.874,0.544,3.13,0.571,2.647,0.58,2.917,0.497
psy_insight,3.266,0.918,3.637,0.895,3.145,0.938,3.188,0.925,3.584,1.077,3.364,0.886
psydial,2.356,0.423,3.0,0.705,2.262,0.41,2.722,0.362,2.067,0.35,2.481,0.392
simpsydial,2.949,0.523,3.792,0.479,2.962,0.458,3.336,0.277,2.901,0.318,3.188,0.362
smile,2.17,0.464,2.674,0.746,2.138,0.413,2.407,0.39,2.215,0.372,2.321,0.422
soulchat,2.026,0.37,2.551,0.606,1.968,0.345,2.271,0.317,2.138,0.277,2.191,0.332
