dataset,interaction_id,claude,gemini,gpt,judge_mean
annomi,annomi_0,4.35,6.0,4.45,4.933333333333334
annomi,annomi_1,4.3,5.6,4.6,4.833333333333333
annomi,annomi_10,1.6,1.4,2.4,1.8
annomi,annomi_101,3.95,3.6,3.9,3.816666666666667
annomi,annomi_102,1.2,1.2,1.6,1.3333333333333333
annomi,annomi_103,3.75,4.5,3.3,3.85
annomi,annomi_104,4.05,5.2,4.15,4.466666666666667
annomi,annomi_105,3.3,4.9,3.35,3.8499999999999996
annomi,annomi_106,1.6,1.0,2.4,1.6666666666666667
annomi,annomi_107,2.3,2.6,1.8,2.2333333333333334
annomi,annomi_108,3.75,2.7,3.4,3.283333333333333
annomi,annomi_11,3.6,5.6,3.35,4.183333333333333
annomi,annomi_110,3.1,5.1,3.3,3.8333333333333335
annomi,annomi_111,4.5,5.6,4.45,4.8500000000000005
annomi,annomi_112,3.55,4.1,3.8,3.8166666666666664
annomi,annomi_113,4.8,5.8,4.55,5.05
annomi,annomi_114,3.8,5.0,3.9,4.233333333333333
annomi,annomi_115,2.2,1.9,2.35,2.15
annomi,annomi_117,4.3,5.2,3.5,4.333333333333333
annomi,annomi_118,1.4,1.3,1.9,1.5333333333333332
annomi,annomi_119,4.2,5.7,3.95,4.616666666666667
annomi,annomi_12,3.6,3.0,3.55,3.383333333333333
annomi,annomi_120,4.2,4.0,3.9,4.033333333333333
annomi,annomi_122,2.8,5.2,2.65,3.5500000000000003
annomi,annomi_123,2.1,1.6,2.1,1.9333333333333336
annomi,annomi_124,4.3,5.2,4.5,4.666666666666667
annomi,annomi_125,2.6,2.2,2.7,2.5000000000000004
annomi,annomi_126,1.5,1.2,3.0,1.9000000000000001
annomi,annomi_127,3.95,5.6,4.35,4.633333333333334
annomi,annomi_128,4.2,4.7,4.6,4.5
annomi,annomi_129,4.0,5.7,3.65,4.45
annomi,annomi_13,3.6,5.6,4.2,4.466666666666666
annomi,annomi_131,3.85,3.3,4.35,3.8333333333333335
annomi,annomi_132,3.85,5.1,4.3,4.416666666666667
annomi,annomi_14,4.3,6.0,3.3,4.533333333333334
annomi,annomi_15,2.3,2.3,2.85,2.483333333333333
annomi,annomi_16,3.4,5.6,3.7,4.233333333333333
annomi,annomi_17,2.8,2.0,3.2,2.6666666666666665
annomi,annomi_18,3.7,4.0,3.0,3.5666666666666664
annomi,annomi_19,3.7,5.2,4.0,4.3
annomi,annomi_2,4.2,3.4,3.9,3.8333333333333335
annomi,annomi_20,4.8,6.0,5.2,5.333333333333333
annomi,annomi_22,3.5,3.7,3.35,3.516666666666667
annomi,annomi_23,3.45,5.1,3.85,4.133333333333334
annomi,annomi_24,3.4,5.6,3.7,4.233333333333333
annomi,annomi_25,4.05,5.3,3.8,4.383333333333333
annomi,annomi_26,2.4,3.5,2.65,2.85
annomi,annomi_28,3.8,2.8,3.1,3.233333333333333
annomi,annomi_29,3.5,4.2,3.8,3.8333333333333335
annomi,annomi_3,2.9,2.7,3.05,2.883333333333333
annomi,annomi_30,2.2,3.4,2.45,2.6833333333333336
annomi,annomi_31,4.1,5.6,4.15,4.616666666666666
annomi,annomi_32,1.6,1.0,1.85,1.4833333333333334
annomi,annomi_33,4.4,5.7,4.5,4.866666666666667
annomi,annomi_34,4.1,5.6,3.6,4.433333333333333
annomi,annomi_35,3.75,4.9,4.3,4.316666666666666
annomi,annomi_37,3.95,5.6,4.05,4.533333333333334
annomi,annomi_38,4.8,5.7,4.55,5.016666666666667
annomi,annomi_39,3.8,4.5,3.3,3.866666666666667
annomi,annomi_4,3.5,5.6,4.4,4.5
annomi,annomi_40,3.6,4.5,3.35,3.8166666666666664
annomi,annomi_41,3.65,4.2,3.45,3.766666666666667
annomi,annomi_42,3.65,5.0,3.2,3.9500000000000006
annomi,annomi_43,3.9,4.5,3.45,3.9500000000000006
annomi,annomi_45,3.3,3.2,3.55,3.35
annomi,annomi_46,4.25,3.6,4.45,4.1000000000000005
annomi,annomi_47,2.8,3.0,2.5,2.766666666666667
annomi,annomi_48,4.3,5.2,3.9,4.466666666666667
annomi,annomi_50,3.7,5.0,3.85,4.183333333333333
annomi,annomi_51,3.7,5.6,4.1,4.466666666666667
annomi,annomi_52,2.9,3.8,2.95,3.2166666666666663
annomi,annomi_53,1.8,1.4,2.15,1.7833333333333332
annomi,annomi_54,1.9,1.0,2.3,1.7333333333333332
annomi,annomi_57,1.5,1.1,1.85,1.4833333333333334
annomi,annomi_58,3.75,3.4,3.4,3.516666666666667
annomi,annomi_59,1.8,1.2,1.7,1.5666666666666667
annomi,annomi_6,4.3,5.8,4.35,4.816666666666666
annomi,annomi_60,3.9,5.2,3.6,4.233333333333333
annomi,annomi_61,4.5,5.6,4.55,4.883333333333333
annomi,annomi_62,3.0,5.0,3.8,3.9333333333333336
annomi,annomi_63,3.85,5.6,3.8,4.416666666666667
annomi,annomi_65,3.9,5.2,4.2,4.433333333333334
annomi,annomi_67,4.9,5.9,4.6,5.133333333333334
annomi,annomi_69,1.0,1.0,1.3,1.0999999999999999
annomi,annomi_70,2.9,2.9,3.6,3.1333333333333333
annomi,annomi_72,1.2,1.0,2.1,1.4333333333333336
annomi,annomi_73,2.8,5.2,2.75,3.5833333333333335
annomi,annomi_74,1.2,1.0,1.6,1.2666666666666668
annomi,annomi_76,3.2,3.1,3.25,3.1833333333333336
annomi,annomi_77,2.85,1.8,3.7,2.7833333333333337
annomi,annomi_78,4.5,5.2,4.4,4.7
annomi,annomi_79,3.75,5.2,3.75,4.233333333333333
annomi,annomi_8,4.55,6.0,4.5,5.016666666666667
annomi,annomi_80,4.25,4.5,3.45,4.066666666666666
annomi,annomi_81,3.0,1.9,2.8,2.566666666666667
annomi,annomi_82,3.7,4.1,3.15,3.65
annomi,annomi_83,4.3,5.0,3.8,4.366666666666667
annomi,annomi_85,3.85,5.0,3.0,3.9499999999999997
annomi,annomi_86,2.4,3.0,2.2,2.5333333333333337
annomi,annomi_87,4.4,5.6,4.2,4.733333333333333
annomi,annomi_88,3.6,5.0,3.55,4.05
annomi,annomi_89,3.35,3.4,3.55,3.4333333333333336
annomi,annomi_9,3.1,2.4,3.35,2.9499999999999997
annomi,annomi_90,1.4,1.7,2.0,1.7
annomi,annomi_91,4.35,4.1,4.4,4.283333333333333
annomi,annomi_92,1.6,2.1,2.35,2.016666666666667
annomi,annomi_93,3.9,5.5,3.8,4.3999999999999995
annomi,annomi_94,2.9,2.5,2.6,2.6666666666666665
annomi,annomi_95,2.9,3.4,2.15,2.8166666666666664
annomi,annomi_96,4.05,5.8,4.4,4.75
annomi,annomi_97,4.35,5.7,3.4,4.483333333333333
annomi,annomi_99,4.05,5.2,4.1,4.45
cactus,cactus_0,3.5,3.65,3.6,3.5833333333333335
cactus,cactus_1,3.4,3.0,3.6,3.3333333333333335
cactus,cactus_10,3.3,3.1,3.5,3.3000000000000003
cactus,cactus_100,3.7,3.3,3.7,3.5666666666666664
cactus,cactus_101,3.4,2.7,3.55,3.2166666666666663
cactus,cactus_102,3.4,3.3,3.55,3.4166666666666665
cactus,cactus_103,3.4,3.1,3.55,3.35
