dataset,judge,CAC_mean,CAC_std,EPC_mean,EPC_std,AR_mean,AR_std,TRA_mean,TRA_std,ACQ_mean,ACQ_std,overall_mean,overall_std,n
annomi,claude,3.132,0.978,3.498,1.053,3.134,0.977,3.395,1.175,3.752,0.928,3.382,0.968,112
annomi,gemini,3.933,1.704,3.826,1.885,3.92,1.692,4.0,1.744,4.576,1.848,4.051,1.596,112
annomi,gpt,3.371,0.854,3.683,0.982,3.277,0.873,3.333,0.986,3.484,0.877,3.429,0.85,112
cactus,claude,3.138,0.323,3.706,0.424,3.054,0.254,3.398,0.257,3.036,0.501,3.266,0.271,200
cactus,gemini,3.414,0.699,4.42,0.575,3.095,0.695,3.358,0.527,2.228,0.636,3.303,0.517,200
cactus,gpt,3.528,0.254,4.202,0.249,3.385,0.22,3.501,0.201,3.18,0.188,3.559,0.175,200
cpsycoun,claude,2.014,0.44,2.556,0.682,1.952,0.424,2.24,0.306,2.26,0.434,2.204,0.382,200
cpsycoun,gemini,1.73,0.628,2.47,1.053,1.618,0.54,1.732,0.576,1.762,0.475,1.862,0.567,200
cpsycoun,gpt,2.585,0.502,3.345,0.615,2.419,0.45,2.694,0.352,2.898,0.356,2.788,0.402,200
esconv,claude,1.722,0.445,1.422,0.533,1.862,0.465,2.17,0.471,1.558,0.509,1.747,0.401,200
esconv,gemini,1.302,0.407,1.155,0.487,1.395,0.5,1.462,0.509,1.275,0.45,1.318,0.367,200
esconv,gpt,2.24,0.465,2.258,0.588,2.308,0.471,2.572,0.471,2.275,0.501,2.331,0.432,200
kmi,claude,2.255,0.332,3.412,0.353,2.315,0.322,2.67,0.293,1.968,0.375,2.524,0.272,200
kmi,gemini,2.074,0.481,4.31,0.307,2.068,0.477,2.286,0.521,1.478,0.352,2.443,0.379,200
kmi,gpt,2.762,0.29,4.129,0.324,2.724,0.312,2.911,0.244,2.43,0.398,2.991,0.26,200
kokorochat,claude,2.691,0.439,3.16,0.618,2.854,0.381,3.206,0.452,2.841,0.547,2.95,0.401,200
kokorochat,gemini,2.692,0.989,3.012,1.232,2.808,0.993,3.01,0.987,2.225,1.113,2.75,0.887,200
kokorochat,gpt,2.865,0.506,3.374,0.584,2.961,0.48,3.175,0.446,2.874,0.422,3.05,0.404,200
psy_insight,claude,3.04,0.898,3.318,0.904,2.942,0.888,3.1,0.926,3.269,1.106,3.134,0.887,200
psy_insight,gemini,3.728,1.507,3.885,1.56,3.645,1.605,3.592,1.532,4.282,1.829,3.826,1.475,200
psy_insight,gpt,3.03,0.654,3.709,0.643,2.848,0.65,2.871,0.599,3.201,0.767,3.132,0.579,200
psydial,claude,2.395,0.43,2.748,0.659,2.434,0.389,2.858,0.358,2.258,0.442,2.538,0.386,200
psydial,gemini,1.95,0.62,2.96,1.179,1.712,0.611,2.302,0.616,1.448,0.429,2.074,0.578,200
psydial,gpt,2.722,0.435,3.294,0.606,2.64,0.437,3.005,0.342,2.496,0.422,2.831,0.396,200
simpsydial,claude,2.679,0.429,3.311,0.53,2.729,0.354,3.111,0.259,2.925,0.368,2.951,0.314,200
simpsydial,gemini,3.055,0.889,4.25,0.644,3.058,0.833,3.525,0.537,2.542,0.586,3.286,0.614,200
simpsydial,gpt,3.112,0.405,3.814,0.437,3.099,0.371,3.371,0.207,3.236,0.227,3.326,0.276,200
smile,claude,2.123,0.47,2.513,0.703,2.121,0.442,2.467,0.405,2.253,0.446,2.295,0.415,199
smile,gemini,1.751,0.7,2.362,1.15,1.724,0.625,1.897,0.63,1.618,0.51,1.87,0.625,199
smile,gpt,2.634,0.446,3.148,0.634,2.57,0.408,2.856,0.336,2.774,0.382,2.796,0.383,199
soulchat,claude,1.908,0.343,2.344,0.574,1.884,0.337,2.258,0.331,2.034,0.318,2.085,0.299,200
soulchat,gemini,1.642,0.512,2.17,0.941,1.59,0.467,1.748,0.489,1.662,0.372,1.762,0.474,200
soulchat,gpt,2.528,0.425,3.14,0.551,2.431,0.399,2.808,0.304,2.716,0.367,2.724,0.359,200
