dataset,j1,j2,n,pearson,spearman,mae,bias_j1_minus_j2
annomi,claude,gemini,112,0.8557,0.7925,0.9536,-0.6688
annomi,claude,gpt,112,0.8908,0.8435,0.35,-0.0473
annomi,gemini,gpt,112,0.7965,0.7572,1.0714,0.6214
annomi,ALL,krippendorff_alpha,112,0.8342,,,
cactus,claude,gemini,200,0.4826,0.4633,0.362,-0.0365
cactus,claude,gpt,200,0.4855,0.5093,0.316,-0.293
cactus,gemini,gpt,200,0.4828,0.4446,0.4295,-0.2565
cactus,ALL,krippendorff_alpha,200,0.6291,,,
cpsycoun,claude,gemini,200,0.7359,0.7229,0.421,0.342
cpsycoun,claude,gpt,200,0.7574,0.718,0.589,-0.5835
cpsycoun,gemini,gpt,200,0.7541,0.7456,0.9295,-0.9255
cpsycoun,ALL,krippendorff_alpha,200,0.6072,,,
esconv,claude,gemini,200,0.7122,0.6918,0.446,0.429
esconv,claude,gpt,200,0.7321,0.7319,0.592,-0.5835
esconv,gemini,gpt,200,0.6713,0.7341,1.013,-1.0125
esconv,ALL,krippendorff_alpha,200,0.54,,,
kmi,claude,gemini,200,0.62,0.605,0.2425,0.081
kmi,claude,gpt,200,0.6693,0.6388,0.4678,-0.4672
kmi,gemini,gpt,200,0.641,0.6657,0.5632,-0.5482
kmi,ALL,krippendorff_alpha,200,0.5942,,,
kokorochat,claude,gemini,200,0.6138,0.6062,0.5914,0.2009
kokorochat,claude,gpt,200,0.6781,0.6697,0.2759,-0.0994
kokorochat,gemini,gpt,200,0.6441,0.6486,0.6238,-0.3002
kokorochat,ALL,krippendorff_alpha,200,0.7317,,,
psy_insight,claude,gemini,200,0.7155,0.7204,1.0598,-0.6928
psy_insight,claude,gpt,200,0.7741,0.7564,0.4495,0.002
psy_insight,gemini,gpt,200,0.6473,0.6293,1.1748,0.6948
psy_insight,ALL,krippendorff_alpha,200,0.7387,,,
psydial,claude,gemini,200,0.5307,0.4864,0.5518,0.4638
psydial,claude,gpt,200,0.7032,0.6649,0.3462,-0.2932
psydial,gemini,gpt,200,0.6387,0.6198,0.768,-0.757
psydial,ALL,krippendorff_alpha,200,0.6216,,,
simpsydial,claude,gemini,200,0.6494,0.5695,0.4745,-0.335
simpsydial,claude,gpt,200,0.7418,0.6707,0.3765,-0.3755
simpsydial,gemini,gpt,200,0.7274,0.6453,0.366,-0.0405
simpsydial,ALL,krippendorff_alpha,200,0.7123,,,
smile,claude,gemini,199,0.6614,0.6645,0.5078,0.4249
smile,claude,gpt,199,0.7261,0.7254,0.5209,-0.5013
smile,gemini,gpt,199,0.6654,0.7092,0.9573,-0.9261
smile,ALL,krippendorff_alpha,199,0.6015,,,
soulchat,claude,gemini,200,0.598,0.5844,0.4152,0.3228
soulchat,claude,gpt,200,0.6948,0.6929,0.6398,-0.6393
soulchat,gemini,gpt,200,0.6881,0.7025,0.963,-0.962
soulchat,ALL,krippendorff_alpha,200,0.5199,,,
