dataset,j1,j2,n,pearson,spearman,mae,bias
annomi,claude,gemini,20,0.8817,0.8613,0.8625,-0.3575
annomi,claude,gpt,20,0.9044,0.7958,0.4925,-0.0775
annomi,claude,qwen,20,0.3741,0.2349,1.5175,1.5175
annomi,gemini,gpt,20,0.8306,0.8323,1.1,0.28
annomi,gemini,qwen,20,0.2685,0.3566,1.97,1.875
annomi,gpt,qwen,20,0.4824,0.3911,1.595,1.595
cactus,claude,gemini,20,0.5938,0.5597,0.34,0.15
cactus,claude,gpt,20,0.4139,0.4715,0.265,-0.24
cactus,claude,qwen,20,0.5084,0.4731,0.4138,0.4138
cactus,gemini,gpt,20,0.066,0.0785,0.5,-0.39
cactus,gemini,qwen,20,0.3176,0.3509,0.4088,0.2638
cactus,gpt,qwen,20,0.6552,0.658,0.6537,0.6537
cpsycoun,claude,gemini,20,0.1989,0.1841,0.325,0.185
cpsycoun,claude,gpt,20,0.4356,0.3955,0.61,-0.61
cpsycoun,claude,qwen,20,0.0501,0.0953,0.4825,0.4225
cpsycoun,gemini,gpt,20,0.2869,0.2944,0.795,-0.795
cpsycoun,gemini,qwen,20,0.0665,0.157,0.4275,0.2375
cpsycoun,gpt,qwen,20,-0.1853,-0.1793,1.0325,1.0325
esconv,claude,gemini,20,0.6979,0.7074,0.465,0.465
esconv,claude,gpt,20,0.6609,0.6806,0.57,-0.55
esconv,claude,qwen,20,0.326,0.3891,0.52,0.495
esconv,gemini,gpt,20,0.6459,0.727,1.015,-1.015
esconv,gemini,qwen,20,-0.071,0.1359,0.35,0.03
esconv,gpt,qwen,20,0.3712,0.3534,1.045,1.045
kmi,claude,gemini,20,0.725,0.6861,0.2275,0.0325
kmi,claude,gpt,20,0.5599,0.4649,0.4425,-0.4425
kmi,claude,qwen,20,0.711,0.7221,0.575,0.565
kmi,gemini,gpt,20,0.5211,0.4739,0.505,-0.475
kmi,gemini,qwen,20,0.625,0.5797,0.5425,0.5325
kmi,gpt,qwen,20,0.509,0.5765,1.0075,1.0075
kokorochat,claude,gemini,20,0.3246,0.2958,0.615,0.185
kokorochat,claude,gpt,20,0.6295,0.6326,0.42,-0.4
kokorochat,claude,qwen,20,0.3239,0.3356,0.7875,0.7775
kokorochat,gemini,gpt,20,0.4154,0.5025,0.825,-0.585
kokorochat,gemini,qwen,20,0.5241,0.3807,0.6825,0.5925
kokorochat,gpt,qwen,20,0.3071,0.2381,1.1775,1.1775
psy_insight,claude,gemini,20,0.1921,0.2539,1.26,-0.63
psy_insight,claude,gpt,20,0.6534,0.5868,0.5325,-0.2525
psy_insight,claude,qwen,20,0.3128,0.3241,1.5775,1.5775
psy_insight,gemini,gpt,20,0.2882,0.2586,1.1175,0.3775
psy_insight,gemini,qwen,20,0.3156,0.2654,2.2075,2.2075
psy_insight,gpt,qwen,20,0.2661,0.3851,1.83,1.83
psydial,claude,gemini,20,0.3734,0.2791,0.615,0.475
psydial,claude,gpt,20,0.581,0.5914,0.4575,-0.4275
psydial,claude,qwen,20,0.3183,0.3043,0.95,0.95
psydial,gemini,gpt,20,0.6229,0.5781,0.9025,-0.9025
psydial,gemini,qwen,20,0.387,0.3552,0.585,0.475
psydial,gpt,qwen,20,0.2604,0.2858,1.3775,1.3775
simpsydial,claude,gemini,20,0.4007,0.4019,0.435,-0.245
simpsydial,claude,gpt,20,0.6608,0.6815,0.28,-0.28
simpsydial,claude,qwen,20,0.0387,-0.0461,0.4088,0.2838
simpsydial,gemini,gpt,20,0.3345,0.4385,0.425,-0.035
simpsydial,gemini,qwen,20,0.6815,0.5931,0.5588,0.5288
simpsydial,gpt,qwen,20,0.1294,0.1416,0.5938,0.5638
smile,claude,gemini,19,0.6715,0.686,0.5158,0.5158
smile,claude,gpt,19,0.6674,0.6839,0.7474,-0.7053
smile,claude,qwen,19,0.5224,0.3949,0.7789,0.7789
smile,gemini,gpt,19,0.6713,0.7734,1.2211,-1.2211
smile,gemini,qwen,19,0.7167,0.588,0.2842,0.2632
smile,gpt,qwen,19,0.5642,0.6148,1.4842,1.4842
soulchat,claude,gemini,20,0.6279,0.7229,0.395,0.275
soulchat,claude,gpt,20,0.673,0.7406,0.685,-0.685
soulchat,claude,qwen,20,0.2008,0.1467,0.725,0.64
soulchat,gemini,gpt,20,0.6038,0.6133,0.97,-0.96
soulchat,gemini,qwen,20,0.1072,0.1106,0.62,0.365
soulchat,gpt,qwen,20,-0.0222,0.0922,1.35,1.325
