config,pair,n,pearson_pooled,mae
S1,claude-gemini,139,0.588,0.597
S1,claude-gpt,139,0.642,0.432
S1,claude-qwen,139,0.449,0.844
S1,gemini-gpt,139,0.466,0.95
S1,gemini-qwen,139,0.431,0.462
S1,gpt-qwen,139,0.227,1.231
S2,claude-gemini,139,0.375,0.525
S2,claude-gpt,139,0.454,0.539
S2,claude-qwen,139,0.055,0.548
S2,gemini-gpt,139,0.49,0.936
S2,gemini-qwen,139,0.221,0.48
S2,gpt-qwen,139,0.121,0.769
S3,claude-gemini,139,0.473,0.446
S3,claude-gpt,139,0.601,0.519
S3,claude-qwen,139,0.308,0.672
S3,gemini-gpt,139,0.492,0.803
S3,gemini-qwen,139,0.442,0.53
S3,gpt-qwen,139,0.221,1.144
