dataset,judge,pair,n,CAC_meandiff,EPC_meandiff,AR_meandiff,TRA_meandiff,ACQ_meandiff,overall_meandiff,overall_absdiff,overall_wilcoxon_p
cpsycoun,claude,S1-S3,20,-0.025,0.05,-0.05,0.0,-0.1,-0.025,0.205,0.6307
cpsycoun,claude,S2-S3,20,0.0,-0.0875,-0.0875,-0.0125,-0.275,-0.0925,0.2375,0.1661
cpsycoun,claude,S1-S2,20,-0.025,0.1375,0.0375,0.0125,0.175,0.0675,0.3175,0.3434
cpsycoun,gemini,S1-S3,20,-0.25,-0.7,-0.15,-0.25,-0.05,-0.28,0.37,0.0037
cpsycoun,gemini,S2-S3,20,-0.25,-0.575,-0.15,-0.175,-0.175,-0.265,0.355,0.006
cpsycoun,gemini,S1-S2,20,0.0,-0.125,0.0,-0.075,0.125,-0.015,0.205,0.6896
cpsycoun,gpt,S1-S3,20,0.025,-0.0375,-0.125,-0.05,0.0,-0.0375,0.1025,0.2068
cpsycoun,gpt,S2-S3,20,-0.1,0.1375,0.0375,0.0,-0.025,0.01,0.155,0.6342
cpsycoun,gpt,S1-S2,20,0.125,-0.175,-0.1625,-0.05,0.025,-0.0475,0.1275,0.1008
cpsycoun,qwen,S1-S3,20,-0.1875,-0.4125,-0.1,-0.025,-0.025,-0.15,0.525,0.1975
cpsycoun,qwen,S2-S3,20,0.2,0.15,0.175,0.1125,0.2625,0.18,0.445,0.0893
cpsycoun,qwen,S1-S2,20,-0.3875,-0.5625,-0.275,-0.1375,-0.2875,-0.33,0.645,0.0364
kmi,claude,S1-S3,20,-0.125,-0.4,-0.075,-0.125,0.025,-0.14,0.28,0.0985
kmi,claude,S2-S3,20,-0.025,-0.275,0.025,-0.2,0.225,-0.05,0.28,0.4319
kmi,claude,S1-S2,20,-0.1,-0.125,-0.1,0.075,-0.2,-0.09,0.36,0.7506
kmi,gemini,S1-S3,20,-0.25,-0.7,-0.2875,-0.3,-0.125,-0.3325,0.4525,0.0098
kmi,gemini,S2-S3,20,-0.375,-0.5,-0.2625,-0.325,-0.175,-0.3275,0.3675,0.0009
kmi,gemini,S1-S2,20,0.125,-0.2,-0.025,0.025,0.05,-0.005,0.315,0.7942
kmi,gpt,S1-S3,20,-0.175,-0.3625,-0.25,-0.3,-0.1875,-0.255,0.285,0.0014
kmi,gpt,S2-S3,20,-0.25,-0.0375,0.1875,0.1,0.1,0.02,0.19,0.5114
kmi,gpt,S1-S2,20,0.075,-0.325,-0.4375,-0.4,-0.2875,-0.275,0.29,0.0004
kmi,qwen,S1-S3,20,-0.3625,-0.4125,-0.325,-0.3125,-0.025,-0.2875,0.4525,0.023
