judge,pair,n_records,mean_diff,mean_abs_diff,wilcoxon_p,n_datasets
claude,S1-S3,139,0.073,0.2665,0.0031,7
claude,S2-S3,139,0.0043,0.2604,0.7638,7
claude,S1-S2,139,0.0687,0.3162,0.0044,7
gemini,S1-S3,139,-0.2406,0.3615,0.0,7
gemini,S2-S3,139,-0.1921,0.3892,0.0,7
gemini,S1-S2,139,-0.0486,0.3255,0.3494,7
gpt,S1-S3,139,-0.0281,0.1871,0.2788,7
gpt,S2-S3,139,0.0137,0.1777,0.4905,7
gpt,S1-S2,139,-0.0417,0.1899,0.0466,7
qwen,S1-S3,139,-0.1192,0.4502,0.0146,7
qwen,S2-S3,139,0.4205,0.5737,0.0,7
qwen,S1-S2,139,-0.5397,0.7135,0.0,7
