dataset,config,judge,CAC_mean,CAC_std,EPC_mean,EPC_std,AR_mean,AR_std,TRA_mean,TRA_std,ACQ_mean,ACQ_std,overall_mean,overall_std,n
annomi,S3,claude,2.85,1.134,2.975,1.371,2.775,1.24,2.95,1.413,3.338,1.156,2.978,1.207,20
annomi,S3,gemini,3.225,1.895,3.475,1.874,3.25,1.867,3.325,1.935,3.4,2.168,3.335,1.898,20
annomi,S3,gpt,3.175,0.893,3.45,1.234,2.85,0.894,2.912,0.893,2.888,0.788,3.055,0.881,20
annomi,S3,qwen,1.512,0.522,1.7,0.719,1.412,0.586,1.462,0.575,1.212,0.383,1.46,0.495,20
cactus,S3,claude,3.162,0.327,3.675,0.294,3.012,0.275,3.362,0.206,3.125,0.425,3.267,0.225,20
cactus,S3,gemini,3.138,0.676,4.4,0.447,2.775,0.638,3.225,0.444,2.05,0.484,3.118,0.452,20
cactus,S3,gpt,3.575,0.183,4.25,0.256,3.3,0.251,3.325,0.245,3.088,0.186,3.508,0.181,20
cactus,S3,qwen,2.938,0.413,3.644,0.633,2.725,0.413,2.756,0.373,2.206,0.475,2.854,0.375,20
cpsycoun,S1,claude,2.2,0.299,3.025,0.197,2.15,0.286,2.325,0.335,2.225,0.472,2.385,0.272,20
cpsycoun,S1,gemini,1.875,0.559,2.475,0.617,1.8,0.523,1.825,0.545,1.75,0.303,1.945,0.408,20
cpsycoun,S1,gpt,3.025,0.112,3.75,0.256,2.625,0.222,2.738,0.25,2.775,0.255,2.982,0.129,20
cpsycoun,S1,qwen,1.875,0.393,2.225,0.658,1.688,0.451,1.775,0.421,1.625,0.455,1.838,0.422,20
cpsycoun,S2,claude,2.225,0.38,2.888,0.263,2.112,0.417,2.312,0.371,2.05,0.51,2.318,0.336,20
cpsycoun,S2,gemini,1.875,0.455,2.6,0.681,1.8,0.34,1.9,0.417,1.625,0.358,1.96,0.308,20
cpsycoun,S2,gpt,2.9,0.262,3.925,0.183,2.788,0.247,2.788,0.233,2.75,0.303,3.03,0.182,20
cpsycoun,S2,qwen,2.262,0.462,2.788,0.68,1.962,0.515,1.912,0.558,1.912,0.722,2.168,0.498,20
cpsycoun,S3,claude,2.225,0.302,2.975,0.38,2.2,0.299,2.325,0.294,2.325,0.406,2.41,0.261,20
cpsycoun,S3,gemini,2.125,0.483,3.175,0.783,1.95,0.426,2.075,0.52,1.8,0.251,2.225,0.349,20
cpsycoun,S3,gpt,3.0,0.162,3.788,0.247,2.75,0.334,2.788,0.247,2.775,0.242,3.02,0.197,20
cpsycoun,S3,qwen,2.062,0.443,2.638,0.728,1.788,0.327,1.8,0.368,1.65,0.384,1.988,0.332,20
esconv,S3,claude,1.575,0.438,1.525,0.638,1.675,0.438,2.125,0.425,1.8,0.637,1.74,0.454,20
esconv,S3,gemini,1.225,0.38,1.225,0.413,1.3,0.377,1.375,0.455,1.25,0.414,1.275,0.309,20
esconv,S3,gpt,2.35,0.54,2.325,0.613,2.125,0.425,2.45,0.426,2.2,0.299,2.29,0.375,20
esconv,S3,qwen,1.212,0.391,1.138,0.298,1.35,0.44,1.312,0.443,1.212,0.4,1.245,0.341,20
kmi,S1,claude,2.125,0.275,2.975,0.617,2.15,0.328,2.525,0.302,1.95,0.32,2.345,0.3,20
kmi,S1,gemini,1.875,0.393,3.675,1.067,1.725,0.343,1.95,0.51,1.375,0.319,2.12,0.444,20
kmi,S1,gpt,2.7,0.377,3.625,0.425,2.4,0.384,2.512,0.329,2.125,0.275,2.673,0.307,20
