stage,dataset,config,judge,judge_raw,judge_model,interaction_id,file,overall,average,CAC,EPC,AR,TRA,ACQ
full,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_77,AnnoMI_S3_claude_9router_full_judgments.jsonl,2.85,2.85,3.5,2.0,3.25,3.0,2.5
full,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_108,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.75,3.75,3.5,4.0,3.5,3.5,4.25
full,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_25,AnnoMI_S3_claude_9router_full_judgments.jsonl,4.05,4.05,3.75,4.5,3.5,4.0,4.5
full,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_132,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.85,3.85,3.75,4.0,3.5,4.25,3.75
full,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_103,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.75,3.75,3.0,4.0,3.5,3.75,4.5
full,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_48,AnnoMI_S3_claude_9router_full_judgments.jsonl,4.3,4.3,4.0,4.5,4.0,4.5,4.5
full,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_42,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.65,3.65,3.0,4.0,3.75,3.75,3.75
full,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_24,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.4,3.4,3.0,4.0,3.0,3.5,3.5
full,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_125,AnnoMI_S3_claude_9router_full_judgments.jsonl,2.6,2.6,2.5,3.5,2.5,2.5,2.0
full,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_23,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.45,3.45,3.5,2.5,3.75,3.0,4.5
full,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_58,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.75,3.75,3.5,3.5,3.75,4.0,4.0
full,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_119,AnnoMI_S3_claude_9router_full_judgments.jsonl,4.2,4.2,4.0,4.0,4.0,4.5,4.5
full,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_97,AnnoMI_S3_claude_9router_full_judgments.jsonl,4.35,4.35,4.5,4.5,4.0,4.75,4.0
full,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_28,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.8,3.8,3.5,3.5,3.5,4.0,4.5
full,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_74,AnnoMI_S3_claude_9router_full_judgments.jsonl,1.2,1.2,1.0,1.0,1.0,1.0,2.0
full,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_72,AnnoMI_S3_claude_9router_full_judgments.jsonl,1.2,1.2,1.0,1.0,1.0,1.0,2.0
full,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_102,AnnoMI_S3_claude_9router_full_judgments.jsonl,1.2,1.2,1.0,1.0,1.0,1.0,2.0
full,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_10,AnnoMI_S3_claude_9router_full_judgments.jsonl,1.6,1.6,2.0,2.0,1.0,1.0,2.0
full,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_106,AnnoMI_S3_claude_9router_full_judgments.jsonl,1.6,1.6,2.0,1.0,1.0,1.0,3.0
full,annomi,S3,claude,claude_batch,anthropic/claude-sonnet-4-6,annomi_69,AnnoMI_S3_claude_9router_full_judgments.jsonl,1.0,1.0,1.0,1.0,1.0,1.0,1.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_59,AnnoMI_S3_claude_9router_full_judgments.jsonl,1.8,1.8,2.0,2.0,1.0,1.0,3.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_131,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.85,3.85,3.5,4.0,3.75,4.0,4.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_124,AnnoMI_S3_claude_9router_full_judgments.jsonl,4.3,4.3,4.0,4.5,4.0,4.5,4.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_76,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.2,3.2,3.0,3.5,3.0,3.0,3.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_105,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.3,3.3,3.0,3.5,3.0,3.5,3.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_63,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.85,3.85,3.75,4.0,3.75,3.75,4.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_93,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.9,3.9,3.5,4.5,3.5,4.0,4.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_51,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.7,3.7,3.5,4.0,3.5,3.5,4.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_52,AnnoMI_S3_claude_9router_full_judgments.jsonl,2.9,2.9,3.0,3.0,3.0,3.5,2.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_61,AnnoMI_S3_claude_9router_full_judgments.jsonl,4.5,4.5,4.0,5.0,4.0,4.5,5.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_83,AnnoMI_S3_claude_9router_full_judgments.jsonl,4.3,4.3,4.0,4.5,4.0,4.5,4.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_91,AnnoMI_S3_claude_9router_full_judgments.jsonl,4.35,4.35,4.25,4.5,4.0,4.5,4.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_126,AnnoMI_S3_claude_9router_full_judgments.jsonl,1.5,1.5,1.0,2.0,2.0,1.5,1.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_115,AnnoMI_S3_claude_9router_full_judgments.jsonl,2.2,2.2,2.0,2.0,2.0,2.0,3.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_118,AnnoMI_S3_claude_9router_full_judgments.jsonl,1.4,1.4,2.0,1.0,1.0,1.0,2.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_17,AnnoMI_S3_claude_9router_full_judgments.jsonl,2.8,2.8,2.5,3.5,2.5,2.0,3.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_53,AnnoMI_S3_claude_9router_full_judgments.jsonl,1.8,1.8,1.5,1.5,1.5,1.5,3.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_54,AnnoMI_S3_claude_9router_full_judgments.jsonl,1.9,1.9,1.5,2.0,1.5,1.5,3.0
