dataset,n,n_judges_mode,mean,std,median,p25,p75,pct_lt3,pct_ge4
annomi,112,3,3.76,0.934,4.056,3.475,4.366,16.964,57.143
cactus,200,3,4.29,0.336,4.31,4.072,4.565,0.0,81.0
cpsycoun,200,3,3.418,0.355,3.37,3.176,3.697,11.5,6.5
esconv,200,3,4.007,0.512,4.111,3.778,4.345,4.5,62.0
kmi,200,3,4.088,0.199,4.093,3.942,4.231,0.0,68.0
kokorochat,200,3,4.046,0.531,4.12,3.88,4.361,4.5,65.0
psy_insight,200,2,3.605,0.577,3.722,3.25,4.0,9.5,25.5
psydial,200,2,4.325,0.291,4.361,4.167,4.503,0.5,95.5
simpsydial,200,2,4.433,0.201,4.431,4.292,4.559,0.0,100.0
smile,199,2,4.318,0.365,4.444,4.181,4.542,0.503,87.94
soulchat,200,3,3.992,0.3,4.009,3.812,4.243,0.5,52.5
