dataset,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
annomi,3.906,3.881,3.812,3.76,3.855,3.702,3.902,3.618,3.649,3.483,3.626,3.929
cactus,4.326,4.482,4.541,4.292,4.597,4.211,4.543,4.068,4.074,3.787,4.063,4.497
cpsycoun,3.559,3.491,3.574,3.282,3.12,3.096,3.59,3.148,3.661,3.2,3.375,3.918
esconv,3.903,3.888,3.997,3.854,4.073,3.953,4.001,4.102,4.093,3.957,4.066,4.2
kmi,4.25,4.253,4.393,4.066,4.006,3.976,4.297,4.057,3.98,3.709,3.934,4.129
kokorochat,4.09,4.061,4.201,3.859,3.94,3.956,4.131,3.93,4.128,3.855,4.122,4.274
psy_insight,3.776,3.741,3.738,3.708,3.621,3.624,3.891,3.521,3.286,3.238,3.248,3.873
psydial,4.348,4.328,4.415,4.23,4.303,4.27,4.42,4.241,4.242,4.184,4.219,4.697
simpsydial,4.308,4.515,4.529,4.414,4.877,4.383,4.592,4.317,4.18,4.161,4.119,4.795
smile,4.303,4.346,4.389,4.315,4.392,4.262,4.364,4.268,4.241,4.226,4.18,4.534
soulchat,3.938,3.96,3.957,3.894,3.941,3.87,4.006,3.951,4.104,3.954,4.087,4.239
