dataset,interaction_id,claude,gemini,gpt,judge_mean,n_judges
annomi,annomi_0,4.472222222222222,4.75,4.583333333333333,4.601851851851851,3
annomi,annomi_1,3.9166666666666665,3.5555555555555554,3.8055555555555554,3.759259259259259,3
annomi,annomi_10,2.1666666666666665,2.527777777777778,3.0833333333333335,2.592592592592593,3
annomi,annomi_101,4.194444444444445,4.444444444444445,4.444444444444445,4.361111111111112,3
annomi,annomi_102,1.9444444444444444,1.527777777777778,1.9444444444444444,1.8055555555555556,3
annomi,annomi_103,4.0,4.583333333333333,3.9722222222222223,4.185185185185184,3
annomi,annomi_104,4.333333333333333,4.555555555555555,4.444444444444445,4.444444444444445,3
annomi,annomi_105,4.305555555555555,5.0,4.194444444444445,4.5,3
annomi,annomi_106,2.0,2.0277777777777777,2.0555555555555554,2.0277777777777777,3
annomi,annomi_107,1.8611111111111112,1.0,1.527777777777778,1.462962962962963,3
annomi,annomi_108,4.361111111111111,5.0,4.611111111111111,4.657407407407407,3
annomi,annomi_11,3.111111111111111,3.4444444444444446,3.361111111111111,3.3055555555555554,3
annomi,annomi_110,3.9166666666666665,4.333333333333333,3.9166666666666665,4.055555555555555,3
annomi,annomi_111,3.9166666666666665,4.0,3.9722222222222223,3.9629629629629632,3
annomi,annomi_112,4.75,5.0,4.694444444444445,4.814814814814815,3
annomi,annomi_113,3.944444444444444,4.305555555555555,4.222222222222222,4.157407407407407,3
annomi,annomi_114,4.111111111111111,4.361111111111112,3.9722222222222223,4.148148148148148,3
annomi,annomi_115,2.3333333333333335,1.0833333333333333,2.1944444444444446,1.8703703703703705,3
annomi,annomi_117,4.527777777777778,4.722222222222222,4.555555555555555,4.601851851851852,3
annomi,annomi_118,1.0,1.0,1.0,1.0,3
annomi,annomi_119,4.305555555555555,4.75,4.444444444444445,4.5,3
annomi,annomi_12,3.75,3.388888888888889,4.083333333333333,3.7407407407407405,3
annomi,annomi_120,4.638888888888889,4.972222222222222,4.75,4.787037037037037,3
annomi,annomi_122,3.333333333333333,3.3333333333333335,3.3333333333333335,3.3333333333333335,3
annomi,annomi_123,1.8055555555555556,1.0555555555555556,1.8611111111111112,1.5740740740740742,3
annomi,annomi_124,4.805555555555555,4.722222222222222,4.75,4.7592592592592595,3
annomi,annomi_125,3.388888888888889,3.361111111111111,3.4166666666666665,3.388888888888889,3
annomi,annomi_126,4.055555555555555,4.444444444444445,4.5,4.333333333333333,3
annomi,annomi_127,4.0,4.0,4.055555555555555,4.018518518518518,3
annomi,annomi_128,4.055555555555555,4.083333333333333,4.111111111111111,4.083333333333333,3
annomi,annomi_129,3.1666666666666665,2.4722222222222223,3.4444444444444446,3.027777777777778,3
annomi,annomi_13,4.0,3.944444444444444,4.0,3.9814814814814814,3
annomi,annomi_131,4.638888888888889,4.833333333333333,4.611111111111111,4.694444444444444,3
annomi,annomi_132,4.666666666666667,4.75,4.638888888888889,4.685185185185186,3
annomi,annomi_14,3.9722222222222223,4.027777777777778,3.805555555555556,3.935185185185185,3
annomi,annomi_15,2.3055555555555554,1.2222222222222223,2.5555555555555554,2.0277777777777777,3
annomi,annomi_16,4.0,4.305555555555555,3.8055555555555554,4.037037037037037,3
annomi,annomi_17,2.3333333333333335,2.2777777777777777,2.4166666666666665,2.342592592592592,3
annomi,annomi_18,2.9722222222222223,2.555555555555556,3.8333333333333335,3.1203703703703707,3
annomi,annomi_19,3.638888888888889,3.694444444444444,3.6666666666666665,3.6666666666666665,3
annomi,annomi_2,4.694444444444445,4.805555555555555,4.694444444444445,4.731481481481482,3
annomi,annomi_20,4.0,4.055555555555555,4.138888888888888,4.064814814814814,3
annomi,annomi_22,4.305555555555555,4.944444444444445,4.083333333333333,4.444444444444444,3
annomi,annomi_23,3.5833333333333335,3.833333333333333,3.8055555555555554,3.7407407407407405,3
annomi,annomi_24,3.9444444444444446,4.527777777777778,4.027777777777778,4.166666666666667,3
annomi,annomi_25,4.583333333333333,4.75,4.555555555555555,4.629629629629629,3
annomi,annomi_26,2.3055555555555554,2.1944444444444446,3.0555555555555554,2.5185185185185186,3
annomi,annomi_28,3.8055555555555554,4.388888888888889,4.055555555555555,4.083333333333333,3
annomi,annomi_29,4.333333333333333,4.583333333333333,4.166666666666667,4.361111111111111,3
annomi,annomi_3,3.138888888888889,3.333333333333333,3.75,3.407407407407407,3
annomi,annomi_30,2.2222222222222223,1.1388888888888888,2.2222222222222223,1.8611111111111114,3
annomi,annomi_31,4.611111111111111,4.888888888888889,4.638888888888889,4.712962962962963,3
annomi,annomi_32,1.222222222222222,1.0,1.4722222222222223,1.2314814814814816,3
annomi,annomi_33,3.638888888888889,3.277777777777778,3.8333333333333335,3.5833333333333335,3
annomi,annomi_34,4.055555555555555,4.472222222222222,4.305555555555555,4.277777777777778,3
annomi,annomi_35,3.9999999999999996,4.111111111111111,4.194444444444445,4.101851851851852,3
annomi,annomi_37,4.083333333333333,4.722222222222222,4.277777777777778,4.361111111111111,3
annomi,annomi_38,4.027777777777778,4.083333333333333,4.444444444444445,4.185185185185185,3
annomi,annomi_39,4.083333333333333,4.25,4.055555555555555,4.129629629629629,3
annomi,annomi_4,4.0,4.361111111111112,4.0,4.12037037037037,3
annomi,annomi_40,4.25,4.833333333333333,4.055555555555555,4.379629629629629,3
annomi,annomi_41,4.666666666666666,5.0,4.388888888888889,4.685185185185185,3
annomi,annomi_42,3.5833333333333335,3.75,3.7222222222222223,3.6851851851851856,3
annomi,annomi_43,4.527777777777778,4.555555555555555,4.472222222222222,4.518518518518518,3
annomi,annomi_45,2.611111111111111,2.5555555555555554,3.0,2.722222222222222,3
annomi,annomi_46,4.138888888888889,4.361111111111111,4.194444444444445,4.231481481481482,3
annomi,annomi_47,2.944444444444444,1.4166666666666667,2.638888888888889,2.3333333333333335,3
annomi,annomi_48,3.8055555555555554,4.055555555555555,3.9166666666666665,3.9259259259259256,3
annomi,annomi_50,4.027777777777778,4.027777777777778,4.055555555555555,4.037037037037037,3
annomi,annomi_51,4.111111111111111,4.416666666666667,4.0,4.1759259259259265,3
annomi,annomi_52,4.055555555555555,4.0,4.0,4.018518518518518,3
annomi,annomi_53,2.611111111111111,4.111111111111111,3.638888888888889,3.4537037037037037,3
annomi,annomi_54,3.3333333333333335,4.5,3.6666666666666665,3.8333333333333335,3
annomi,annomi_57,2.0,1.472222222222222,2.0,1.8240740740740742,3
annomi,annomi_58,4.555555555555555,4.694444444444445,4.527777777777778,4.592592592592593,3
annomi,annomi_59,2.0,1.1944444444444444,1.972222222222222,1.7222222222222223,3
annomi,annomi_6,3.75,4.277777777777778,4.027777777777778,4.018518518518519,3
annomi,annomi_60,4.833333333333334,5.0,4.666666666666667,4.833333333333333,3
annomi,annomi_61,4.777777777777778,4.722222222222222,4.527777777777778,4.6759259259259265,3
annomi,annomi_62,4.027777777777778,4.583333333333333,4.111111111111111,4.2407407407407405,3
annomi,annomi_63,4.0,4.194444444444445,4.083333333333333,4.092592592592593,3
annomi,annomi_65,3.9166666666666665,4.138888888888889,3.75,3.935185185185185,3
annomi,annomi_67,4.25,4.305555555555555,4.25,4.268518518518518,3
annomi,annomi_69,2.444444444444444,3.555555555555556,3.055555555555556,3.0185185185185186,3
annomi,annomi_70,3.4166666666666665,4.333333333333333,3.6666666666666665,3.8055555555555554,3
annomi,annomi_72,2.8333333333333335,4.111111111111111,3.416666666666667,3.4537037037037037,3
annomi,annomi_73,3.4722222222222223,3.8333333333333335,3.8055555555555554,3.7037037037037037,3
annomi,annomi_74,2.4722222222222223,1.9444444444444444,2.1944444444444446,2.2037037037037037,3
annomi,annomi_76,4.305555555555555,5.0,4.0,4.435185185185185,3
annomi,annomi_77,4.416666666666667,4.583333333333333,4.25,4.416666666666667,3
annomi,annomi_78,4.416666666666667,4.75,4.527777777777778,4.564814814814816,3
annomi,annomi_79,3.9444444444444446,4.027777777777778,3.9166666666666665,3.9629629629629632,3
