dataset,judge,goal_mean,goal_std,approach_mean,approach_std,bond_mean,bond_std,total_mean,total_std,n,n_none_q_total
annomi,claude,3.672,0.966,3.677,1.007,3.675,0.733,3.675,0.88,112,0
annomi,gemini,3.952,1.266,3.824,1.243,3.7,1.031,3.825,1.156,112,0
annomi,gpt,3.896,0.922,3.807,0.938,3.64,0.697,3.781,0.826,112,0
cactus,claude,4.237,0.315,4.227,0.553,4.003,0.271,4.155,0.355,200,0
cactus,gemini,4.604,0.394,4.473,0.537,4.215,0.353,4.431,0.401,200,0
cactus,gpt,4.39,0.357,4.364,0.414,4.1,0.252,4.285,0.304,200,0
cpsycoun,claude,3.056,0.578,2.948,0.463,3.409,0.377,3.138,0.438,200,24
cpsycoun,gemini,3.542,0.654,3.33,0.619,3.62,0.375,3.497,0.524,200,0
cpsycoun,gpt,3.821,0.263,3.429,0.32,3.581,0.23,3.61,0.232,200,0
esconv,claude,3.553,0.634,3.745,0.672,3.934,0.457,3.744,0.557,200,36
esconv,gemini,4.247,0.749,4.313,0.817,4.285,0.657,4.282,0.722,200,0
esconv,gpt,3.93,0.327,4.041,0.462,4.018,0.362,3.997,0.347,200,0
kmi,claude,4.008,0.217,3.902,0.368,3.912,0.106,3.941,0.209,200,0
kmi,gemini,4.613,0.392,4.391,0.47,4.095,0.218,4.366,0.325,200,0
kmi,gpt,4.101,0.154,3.958,0.213,3.807,0.193,3.956,0.137,200,0
kokorochat,claude,3.789,0.547,3.784,0.648,4.031,0.452,3.868,0.52,200,12
kokorochat,gemini,4.273,0.773,4.173,0.846,4.216,0.698,4.221,0.754,200,0
kokorochat,gpt,4.092,0.368,4.007,0.492,4.037,0.414,4.045,0.397,200,0
psy_insight,gemini,3.759,0.846,3.667,0.814,3.451,0.605,3.626,0.719,200,0
psy_insight,gpt,3.722,0.549,3.661,0.537,3.371,0.441,3.585,0.467,200,0
psydial,gemini,4.592,0.444,4.548,0.475,4.495,0.446,4.545,0.425,200,0
psydial,gpt,4.068,0.203,4.07,0.223,4.177,0.314,4.105,0.207,200,0
simpsydial,gemini,4.703,0.314,4.706,0.327,4.424,0.294,4.611,0.282,200,0
simpsydial,gpt,4.18,0.268,4.378,0.225,4.204,0.147,4.254,0.178,200,0
smile,gemini,4.644,0.545,4.61,0.585,4.559,0.505,4.604,0.527,199,0
smile,gpt,4.033,0.205,4.034,0.322,4.031,0.291,4.033,0.241,199,0
soulchat,claude,3.509,0.553,3.556,0.533,3.877,0.37,3.647,0.455,200,0
soulchat,gemini,4.309,0.434,4.296,0.471,4.373,0.43,4.326,0.426,200,0
soulchat,gpt,3.993,0.074,3.974,0.213,4.039,0.208,4.002,0.141,200,0
