dataset,judge,none_scores_total,records_with_none
annomi,claude,0,0
annomi,gemini,0,0
annomi,gpt,0,0
cactus,claude,0,0
cactus,gemini,0,0
cactus,gpt,0,0
cpsycoun,claude,24,2
cpsycoun,gemini,0,0
cpsycoun,gpt,0,0
esconv,claude,36,3
esconv,gemini,0,0
esconv,gpt,0,0
kmi,claude,0,0
kmi,gemini,0,0
kmi,gpt,0,0
kokorochat,claude,12,1
kokorochat,gemini,0,0
kokorochat,gpt,0,0
psy_insight,gemini,0,0
psy_insight,gpt,0,0
psydial,gemini,0,0
psydial,gpt,0,0
simpsydial,gemini,0,0
simpsydial,gpt,0,0
smile,gemini,0,0
smile,gpt,0,0
soulchat,claude,0,0
soulchat,gemini,0,0
soulchat,gpt,0,0
