dataset,total_3j,total_3j_std,goal_3j,approach_3j,bond_3j,n_3j,total_2j,total_2j_std,goal_2j,approach_2j,bond_2j,n_2j
annomi,3.76,0.934,3.84,3.769,3.672,112.0,3.803,0.976,3.924,3.815,3.67,112
cactus,4.29,0.336,4.41,4.355,4.106,200.0,4.358,0.341,4.497,4.419,4.157,200
cpsycoun,3.418,0.355,3.476,3.238,3.538,200.0,3.554,0.358,3.681,3.379,3.6,200
esconv,4.007,0.512,3.91,4.032,4.079,200.0,4.139,0.517,4.089,4.177,4.152,200
kmi,4.088,0.199,4.241,4.084,3.938,200.0,4.161,0.214,4.357,4.175,3.951,200
kokorochat,4.046,0.531,4.053,3.989,4.095,200.0,4.133,0.552,4.182,4.09,4.126,200
psy_insight,,,,,,,3.605,0.577,3.74,3.664,3.411,200
psydial,,,,,,,4.325,0.291,4.33,4.309,4.336,200
simpsydial,,,,,,,4.433,0.201,4.442,4.542,4.314,200
smile,,,,,,,4.318,0.365,4.338,4.322,4.295,199
soulchat,3.992,0.3,3.937,3.942,4.096,200.0,4.164,0.265,4.151,4.135,4.206,200
