dataset,config,judge,goal_mean,goal_std,approach_mean,approach_std,bond_mean,bond_std,total_mean,total_std,n,n_none_q_total
annomi,S1,gpt,3.923,0.972,3.675,0.866,3.588,0.623,3.728,0.789,40,0
annomi,S3,claude,3.542,1.004,3.483,1.021,3.6,0.791,3.542,0.912,20,0
annomi,S3,gemini,4.029,1.174,3.829,1.164,3.671,0.893,3.843,1.049,20,0
annomi,S3,gpt,3.923,0.972,3.675,0.866,3.588,0.623,3.728,0.789,40,0
cactus,S1,gpt,4.673,0.291,4.308,0.496,4.104,0.303,4.362,0.323,40,0
cactus,S3,claude,4.321,0.36,4.296,0.627,4.033,0.318,4.217,0.409,20,0
cactus,S3,gemini,4.796,0.279,4.625,0.523,4.362,0.442,4.594,0.384,20,0
cactus,S3,gpt,4.733,0.275,4.3,0.542,4.037,0.261,4.357,0.316,20,0
cpsycoun,S1,gpt,3.6,0.366,3.279,0.206,3.479,0.243,3.453,0.24,20,0
cpsycoun,S3,claude,3.412,0.445,3.179,0.377,3.533,0.288,3.375,0.341,20,0
cpsycoun,S3,gemini,3.85,0.45,3.521,0.409,3.667,0.277,3.679,0.359,20,0
cpsycoun,S3,gpt,3.623,0.366,3.325,0.262,3.425,0.328,3.458,0.285,40,0
esconv,S3,claude,3.706,0.571,3.877,0.52,4.02,0.387,3.868,0.466,20,36
esconv,S3,gemini,4.212,0.752,4.317,0.77,4.321,0.515,4.283,0.662,20,0
esconv,S3,gpt,3.817,0.372,3.842,0.397,3.988,0.345,3.882,0.319,20,0
kmi,S1,gpt,4.065,0.325,3.548,0.383,3.617,0.259,3.743,0.266,40,0
kmi,S3,claude,3.979,0.177,3.85,0.422,3.896,0.14,3.908,0.234,20,0
kmi,S3,gemini,4.688,0.331,4.467,0.505,4.175,0.336,4.443,0.349,20,0
kmi,S3,gpt,4.027,0.333,3.51,0.354,3.704,0.208,3.747,0.244,40,0
kokorochat,S1,gpt,3.964,0.306,3.589,0.361,3.891,0.128,3.814,0.242,20,48
kokorochat,S3,claude,3.612,0.555,3.554,0.574,3.888,0.284,3.685,0.441,20,0
kokorochat,S3,gemini,4.104,0.549,3.988,0.577,4.083,0.471,4.058,0.517,20,0
kokorochat,S3,gpt,4.125,0.177,3.583,0.589,3.875,0.177,3.861,0.314,2,0
psy_insight,S1,gpt,3.61,0.598,3.4,0.467,3.298,0.334,3.436,0.419,40,0
psy_insight,S3,claude,3.521,0.766,3.546,0.796,3.562,0.512,3.543,0.658,20,0
psy_insight,S3,gemini,3.629,0.832,3.579,0.781,3.429,0.552,3.546,0.666,20,0
psy_insight,S3,gpt,3.462,0.531,3.304,0.402,3.275,0.317,3.347,0.381,20,0
psydial,S1,gpt,4.292,0.294,3.9,0.455,4.25,0.389,4.147,0.327,20,0
psydial,S3,claude,3.762,0.343,3.692,0.431,3.992,0.262,3.815,0.308,20,0
psydial,S3,gemini,4.679,0.377,4.55,0.43,4.579,0.372,4.603,0.372,20,0
psydial,S3,gpt,4.217,0.423,3.915,0.496,4.212,0.513,4.115,0.419,40,0
simpsydial,S1,gpt,4.3,0.309,4.292,0.083,4.037,0.113,4.21,0.121,20,0
simpsydial,S3,claude,4.117,0.27,4.275,0.239,4.058,0.121,4.15,0.191,20,0
simpsydial,S3,gemini,4.854,0.175,4.929,0.122,4.533,0.27,4.772,0.152,20,0
simpsydial,S3,gpt,4.288,0.246,4.29,0.128,4.048,0.1,4.208,0.121,40,0
smile,S1,gpt,3.706,0.455,3.518,0.48,3.658,0.513,3.627,0.45,19,0
smile,S3,claude,3.259,0.742,3.289,0.611,3.548,0.518,3.365,0.6,19,0
smile,S3,gemini,3.899,0.83,3.794,0.859,3.934,0.74,3.876,0.8,19,0
smile,S3,gpt,3.627,0.463,3.531,0.476,3.693,0.506,3.617,0.463,19,0
soulchat,S1,gpt,4.012,0.122,3.983,0.183,4.067,0.21,4.021,0.12,20,0
soulchat,S3,claude,3.821,0.247,3.888,0.248,4.096,0.238,3.935,0.201,20,0
soulchat,S3,gemini,4.538,0.366,4.579,0.378,4.65,0.35,4.589,0.337,20,0
soulchat,S3,gpt,3.954,0.219,3.979,0.243,4.031,0.21,3.988,0.185,40,0
