dataset,language,n_common,client_valence_emo_mean_meandiff_AminusB,client_valence_emo_mean_absdiff,client_valence_emo_mean_pearson_AB,client_valence_emo_mean_spearman_AB,client_valence_emo_std_meandiff_AminusB,client_valence_emo_std_absdiff,client_valence_emo_std_pearson_AB,client_valence_emo_std_spearman_AB,client_valence_nec_meandiff_AminusB,client_valence_nec_absdiff,client_valence_nec_pearson_AB,client_valence_nec_spearman_AB,client_valence_happy_ending_meandiff_AminusB,client_valence_happy_ending_absdiff,client_lex_coverage_meandiff_AminusB,client_lex_coverage_absdiff,counselor_valence_emo_mean_meandiff_AminusB,counselor_valence_emo_mean_absdiff,counselor_valence_nec_meandiff_AminusB,counselor_valence_nec_absdiff,identical_AB
annomi,en,112,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
cactus,en,200,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
cpsycoun,zh,200,0.008,0.0844,0.0713,0.0134,0.1248,0.125,0.1759,0.1523,-0.0736,0.2366,0.0823,0.0573,-0.1758,0.5495,-0.4025,0.4025,-0.0685,0.0765,-0.0526,0.1584,False
esconv,en,200,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
kmi,ko,200,0.0087,0.0736,0.4163,0.3517,0.0805,0.0851,0.2237,0.2199,-0.0507,0.201,0.3146,0.3782,-0.22,0.39,-0.4008,0.4008,-0.0011,0.0754,0.0307,0.1743,False
kokorochat,ja,200,-0.0996,0.1011,0.3778,0.3677,0.1644,0.1644,0.2247,0.2371,-0.0596,0.1074,0.3934,0.3861,-0.275,0.405,-0.4467,0.4467,-0.1094,0.1094,-0.036,0.0673,False
psy_insight,en,200,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
psydial,zh,200,-0.0218,0.0379,0.2302,0.2014,0.0948,0.0948,0.0609,0.0783,-0.0673,0.0905,0.1137,0.0915,-0.405,0.505,-0.4281,0.4281,-0.1166,0.1171,-0.0478,0.0789,False
simpsydial,zh,200,-0.0246,0.0453,0.143,0.1201,0.1068,0.1068,0.1151,0.0974,-0.1398,0.1538,0.0646,0.0756,-0.545,0.615,-0.4218,0.4218,-0.1207,0.1207,-0.1208,0.1273,False
smile,zh,200,-0.0185,0.0579,0.17,0.1796,0.105,0.1053,0.0172,0.0717,-0.1573,0.1868,0.1187,0.1294,-0.4394,0.5404,-0.4273,0.4273,-0.0812,0.0863,-0.0863,0.1277,False
soulchat,zh,200,-0.0278,0.069,0.1184,0.1033,0.1004,0.1008,0.1634,0.1732,-0.124,0.1958,0.0728,0.0745,-0.37,0.53,-0.4113,0.4113,-0.0916,0.0943,-0.0802,0.1228,False
