ds_key,client_valence_emo_mean,client_valence_emo_std,client_valence_nec,client_valence_happy_ending,client_valence_first_mean,client_valence_last_mean,client_valence_emo_rise_rate,client_valence_emo_recovery_rate,client_valence_emo_avg_peak_dist,client_valence_emo_avg_disp_length,client_valence_n_displacements,client_arousal_emo_mean,client_arousal_emo_std,counselor_valence_emo_mean,counselor_valence_emo_std,counselor_valence_nec,counselor_valence_happy_ending,valence_variability_ratio,client_n_tokens,counselor_n_tokens,client_lex_coverage,counselor_lex_coverage
annomi,0.1599,0.1334,0.0271,0.6455,0.145,0.172,0.0187,0.0181,0.2149,13.2083,29.1545,-0.0838,0.1115,0.1377,0.123,0.027,0.6339,1.1084,402.2589,475.4375,0.6554,0.707
cactus,0.1463,0.1384,0.0494,0.725,0.1286,0.178,0.0191,0.0187,0.2191,13.0361,30.06,-0.0587,0.109,0.1792,0.1154,0.0656,0.91,1.2086,378.51,441.155,0.6915,0.7496
cpsycoun,0.1473,0.2553,-0.0575,0.4202,0.1698,0.1123,0.0388,0.0334,0.4246,14.1795,6.2872,-0.2204,0.1832,0.1035,0.2328,0.0136,0.5276,1.1275,106.535,240.04,0.2595,0.2883
esconv,0.1659,0.1392,0.0817,0.775,0.1349,0.2166,0.0194,0.0191,0.2237,13.0584,17.08,-0.0523,0.1046,0.1754,0.1314,0.0788,0.825,1.0867,222.34,264.75,0.6995,0.7346
kmi,0.191,0.2089,0.0256,0.525,0.1788,0.2045,0.0328,0.0294,0.3681,13.8205,5.13,-0.0151,0.1708,0.1809,0.2111,0.1107,0.725,1.0542,85.66,83.465,0.307,0.3591
kokorochat,0.078,0.3011,-0.0119,0.47,0.1253,0.1134,0.0435,0.0373,0.4857,15.0291,32.505,-0.1705,0.2,0.0637,0.2885,-0.02,0.385,1.0499,669.855,1124.09,0.2288,0.2184
psy_insight,0.1527,0.1173,-0.0001,0.4965,0.1617,0.1616,0.0167,0.0164,0.1904,12.7929,8.156,-0.0665,0.1017,0.1422,0.0995,-0.0018,0.478,1.2379,77.04,93.245,0.6793,0.7308
psydial,0.1427,0.2372,-0.0111,0.435,0.143,0.1318,0.0355,0.0313,0.3972,14.4224,58.275,-0.2344,0.1782,0.0569,0.2217,0.0072,0.555,1.0754,1122.505,1037.415,0.2659,0.2888
simpsydial,0.1418,0.2448,-0.0548,0.335,0.1637,0.1088,0.0362,0.032,0.4067,14.5333,27.03,-0.2238,0.1788,0.0777,0.2384,-0.0114,0.45,1.0319,518.835,810.4,0.2664,0.2787
smile,0.1444,0.247,-0.0708,0.3535,0.189,0.1182,0.0372,0.0325,0.413,14.2855,17.0051,-0.1993,0.1895,0.1005,0.2419,0.0078,0.5126,1.0324,315.185,551.385,0.2627,0.2878
soulchat,0.1273,0.2443,-0.048,0.39,0.1494,0.1014,0.036,0.0315,0.3997,14.411,12.09,-0.2004,0.1816,0.1027,0.2504,0.0023,0.55,0.9909,218.505,454.64,0.2624,0.2825
