ds_key,client_valence_emo_mean,client_valence_emo_std,client_valence_nec,client_valence_happy_ending,client_valence_first_mean,client_valence_last_mean,client_valence_emo_rise_rate,client_valence_emo_recovery_rate,client_valence_emo_avg_peak_dist,client_valence_emo_avg_disp_length,client_valence_n_displacements,client_arousal_emo_mean,client_arousal_emo_std,counselor_valence_emo_mean,counselor_valence_emo_std,counselor_valence_nec,counselor_valence_happy_ending,valence_variability_ratio,client_n_tokens,counselor_n_tokens,client_lex_coverage,counselor_lex_coverage
annomi,0.1599,0.1334,0.0271,0.6455,0.145,0.172,0.0187,0.0181,0.2149,13.2083,29.1545,-0.0838,0.1115,0.1377,0.123,0.027,0.6339,1.1084,402.2589,475.4375,0.6554,0.707
cactus,0.1463,0.1384,0.0494,0.725,0.1286,0.178,0.0191,0.0187,0.2191,13.0361,30.06,-0.0587,0.109,0.1792,0.1154,0.0656,0.91,1.2086,378.51,441.155,0.6915,0.7496
cpsycoun,0.1406,0.1315,0.0172,0.5934,0.1233,0.1404,0.0189,0.0181,0.2106,12.6022,8.3516,-0.044,0.1057,0.174,0.1159,0.0649,0.7436,1.1517,89.15,170.4,0.662,0.7617
esconv,0.1659,0.1392,0.0817,0.775,0.1349,0.2166,0.0194,0.0191,0.2237,13.0584,17.08,-0.0523,0.1046,0.1754,0.1314,0.0788,0.825,1.0867,222.34,264.75,0.6995,0.7346
kmi,0.1823,0.1284,0.0763,0.745,0.1438,0.2201,0.018,0.0178,0.208,12.9527,9.945,-0.0398,0.0993,0.182,0.1176,0.08,0.795,1.1274,122.825,128.975,0.7079,0.7336
kokorochat,0.1776,0.1367,0.0477,0.745,0.1718,0.2195,0.019,0.0186,0.2187,13.1272,33.805,-0.068,0.1095,0.1731,0.125,0.016,0.62,1.1018,457.675,646.935,0.6755,0.7129
psy_insight,0.1527,0.1173,-0.0001,0.4965,0.1617,0.1616,0.0167,0.0164,0.1904,12.7929,8.156,-0.0665,0.1017,0.1422,0.0995,-0.0018,0.478,1.2379,77.04,93.245,0.6793,0.7308
psydial,0.1646,0.1424,0.0562,0.84,0.1449,0.2011,0.0193,0.0189,0.2235,13.2005,65.215,-0.0676,0.1092,0.1735,0.1247,0.055,0.8,1.1492,875.835,745.835,0.694,0.7268
simpsydial,0.1664,0.1381,0.085,0.88,0.1338,0.2188,0.0189,0.0185,0.2187,13.2526,30.765,-0.0687,0.1085,0.1985,0.1253,0.1094,0.98,1.1095,415.64,556.125,0.6882,0.738
smile,0.1629,0.142,0.0865,0.7929,0.1366,0.2231,0.0194,0.019,0.2236,13.1601,20.0202,-0.0546,0.1041,0.1817,0.1319,0.0942,0.8894,1.0914,259.885,406.63,0.69,0.7462
soulchat,0.1551,0.1439,0.076,0.76,0.1345,0.2105,0.0201,0.0197,0.23,12.9252,14.275,-0.0536,0.1032,0.1942,0.1282,0.0825,0.85,1.1379,181.375,324.165,0.6737,0.7599
