dataset,cfg,n_rows,n_valid,language,client_lex_coverage,client_n_tokens,client_arc_length,client_valence_emo_mean,client_valence_emo_std,client_valence_nec,client_valence_first_mean,client_valence_last_mean,client_valence_happy_ending,client_valence_n_displacements,client_valence_n_low_displacements,client_valence_n_high_displacements,client_valence_emo_avg_peak_dist,client_valence_emo_avg_disp_length,client_valence_emo_rise_rate,client_valence_emo_recovery_rate,client_arousal_emo_mean,client_arousal_nec,client_dominance_emo_mean,client_dominance_nec,counselor_lex_coverage,counselor_n_tokens,counselor_valence_emo_mean,counselor_valence_emo_std,counselor_valence_nec,counselor_valence_happy_ending,valence_variability_ratio,arousal_variability_ratio,dominance_variability_ratio
annomi,A,112,110,en,0.6554,402.2589,393.0446,0.1599,0.1334,0.0271,0.145,0.172,0.6455,29.1545,13.4182,15.7364,0.2149,13.2083,0.0187,0.0181,-0.0838,-0.0008,0.0258,0.0211,0.707,475.4375,0.1377,0.123,0.027,0.6339,1.1084,1.0631,1.0226
cactus,A,200,200,en,0.6915,378.51,369.51,0.1463,0.1384,0.0494,0.1286,0.178,0.725,30.06,14.34,15.72,0.2191,13.0361,0.0191,0.0187,-0.0587,-0.019,0.0451,0.0176,0.7496,441.155,0.1792,0.1154,0.0656,0.91,1.2086,1.1048,1.0508
cpsycoun,A,200,188,zh,0.2595,106.535,92.73,0.1473,0.2553,-0.0575,0.1698,0.1123,0.4202,6.2872,3.1968,3.0904,0.4246,14.1795,0.0388,0.0334,-0.2204,0.0117,-0.0697,0.0101,0.2883,240.04,0.1035,0.2328,0.0136,0.5276,1.1275,1.1204,1.1761
esconv,A,200,200,en,0.6995,222.34,213.34,0.1659,0.1392,0.0817,0.1349,0.2166,0.775,17.08,8.185,8.895,0.2237,13.0584,0.0194,0.0191,-0.0523,-0.0276,0.0614,0.0359,0.7346,264.75,0.1754,0.1314,0.0788,0.825,1.0867,1.1058,1.012
kmi,A,200,200,ko,0.307,85.66,75.535,0.191,0.2089,0.0256,0.1788,0.2045,0.525,5.13,2.635,2.495,0.3681,13.8205,0.0328,0.0294,-0.0151,-0.0561,0.0342,-0.0067,0.3591,83.465,0.1809,0.2111,0.1107,0.725,1.0542,1.0961,1.0399
kokorochat,A,200,200,ja,0.2288,669.855,615.96,0.078,0.3011,-0.0119,0.1253,0.1134,0.47,32.505,15.61,16.895,0.4857,15.0291,0.0435,0.0373,-0.1705,-0.0221,-0.0918,-0.0694,0.2184,1124.09,0.0637,0.2885,-0.02,0.385,1.0499,1.0588,0.9883
psy_insight,A,200,141,en,0.6793,77.04,65.63,0.1527,0.1173,-0.0001,0.1617,0.1616,0.4965,8.156,3.9929,4.1631,0.1904,12.7929,0.0167,0.0164,-0.0665,-0.0142,0.0569,-0.0104,0.7308,93.245,0.1422,0.0995,-0.0018,0.478,1.2379,1.1837,1.1884
psydial,A,200,200,zh,0.2659,1122.505,1062.78,0.1427,0.2372,-0.0111,0.143,0.1318,0.435,58.275,29.235,29.04,0.3972,14.4224,0.0355,0.0313,-0.2344,0.0075,-0.0491,-0.0082,0.2888,1037.415,0.0569,0.2217,0.0072,0.555,1.0754,1.1,1.1591
simpsydial,A,200,200,zh,0.2664,518.835,486.595,0.1418,0.2448,-0.0548,0.1637,0.1088,0.335,27.03,13.35,13.68,0.4067,14.5333,0.0362,0.032,-0.2238,0.0311,-0.0569,-0.0165,0.2787,810.4,0.0777,0.2384,-0.0114,0.45,1.0319,1.0685,1.1628
smile,A,200,198,zh,0.2627,315.185,292.59,0.1444,0.247,-0.0708,0.189,0.1182,0.3535,17.0051,8.1717,8.8333,0.413,14.2855,0.0372,0.0325,-0.1993,0.0475,-0.0429,-0.0356,0.2878,551.385,0.1005,0.2419,0.0078,0.5126,1.0324,1.0764,1.0997
soulchat,A,200,200,zh,0.2624,218.505,200.835,0.1273,0.2443,-0.048,0.1494,0.1014,0.39,12.09,5.895,6.195,0.3997,14.411,0.036,0.0315,-0.2004,0.056,-0.0596,-0.0142,0.2825,454.64,0.1027,0.2504,0.0023,0.55,0.9909,1.0529,1.0846
annomi,B,112,110,en,0.6554,402.2589,393.0446,0.1599,0.1334,0.0271,0.145,0.172,0.6455,29.1545,13.4182,15.7364,0.2149,13.2083,0.0187,0.0181,-0.0838,-0.0008,0.0258,0.0211,0.707,475.4375,0.1377,0.123,0.027,0.6339,1.1084,1.0631,1.0226
cactus,B,200,200,en,0.6915,378.51,369.51,0.1463,0.1384,0.0494,0.1286,0.178,0.725,30.06,14.34,15.72,0.2191,13.0361,0.0191,0.0187,-0.0587,-0.019,0.0451,0.0176,0.7496,441.155,0.1792,0.1154,0.0656,0.91,1.2086,1.1048,1.0508
cpsycoun,B,200,182,en,0.662,89.15,78.885,0.1406,0.1315,0.0172,0.1233,0.1404,0.5934,8.3516,4.1044,4.2473,0.2106,12.6022,0.0189,0.0181,-0.044,0.0216,0.0443,0.0054,0.7617,170.4,0.174,0.1159,0.0649,0.7436,1.1517,1.1796,0.9746
esconv,B,200,200,en,0.6995,222.34,213.34,0.1659,0.1392,0.0817,0.1349,0.2166,0.775,17.08,8.185,8.895,0.2237,13.0584,0.0194,0.0191,-0.0523,-0.0276,0.0614,0.0359,0.7346,264.75,0.1754,0.1314,0.0788,0.825,1.0867,1.1058,1.012
kmi,B,200,200,en,0.7079,122.825,113.825,0.1823,0.1284,0.0763,0.1438,0.2201,0.745,9.945,4.71,5.235,0.208,12.9527,0.018,0.0178,-0.0398,-0.0232,0.076,0.0378,0.7336,128.975,0.182,0.1176,0.08,0.795,1.1274,1.0304,1.0261
kokorochat,B,200,200,en,0.6755,457.675,448.66,0.1776,0.1367,0.0477,0.1718,0.2195,0.745,33.805,15.745,18.06,0.2187,13.1272,0.019,0.0186,-0.068,-0.0094,0.0502,0.0117,0.7129,646.935,0.1731,0.125,0.016,0.62,1.1018,1.0813,1.0721
psy_insight,B,200,141,en,0.6793,77.04,65.63,0.1527,0.1173,-0.0001,0.1617,0.1616,0.4965,8.156,3.9929,4.1631,0.1904,12.7929,0.0167,0.0164,-0.0665,-0.0142,0.0569,-0.0104,0.7308,93.245,0.1422,0.0995,-0.0018,0.478,1.2379,1.1837,1.1884
psydial,B,200,200,en,0.694,875.835,866.835,0.1646,0.1424,0.0562,0.1449,0.2011,0.84,65.215,29.81,35.405,0.2235,13.2005,0.0193,0.0189,-0.0676,-0.0096,0.0522,0.0329,0.7268,745.835,0.1735,0.1247,0.055,0.8,1.1492,1.0629,1.0653
