cfg,dataset,n_nan,nan_ids_sample
A,annomi,2,annomi_59;annomi_47
A,cactus,0,
A,cpsycoun,12,cpscycoun_career_1_02;cpscycoun_career_2_02;cpscycoun_career_3_02;cpscycoun_career_5_02;cpscycoun_education_3_02
A,esconv,0,
A,kmi,0,
A,kokorochat,0,
A,psy_insight,59,psyinsight_000820;psyinsight_000945;psyinsight_000723;psyinsight_000577;psyinsight_000860
A,psydial,0,
A,simpsydial,0,
A,smile,2,smile_15;smile_177
A,soulchat,0,
B,annomi,2,annomi_59;annomi_47
B,cactus,0,
B,cpsycoun,18,cpscycoun_career_1_02;cpscycoun_career_2_02;cpscycoun_career_3_02;cpscycoun_career_5_02;cpscycoun_education_3_02
B,esconv,0,
B,kmi,0,
B,kokorochat,0,
B,psy_insight,59,psyinsight_000820;psyinsight_000945;psyinsight_000723;psyinsight_000577;psyinsight_000860
B,psydial,0,
B,simpsydial,0,
B,smile,2,smile_15;smile_177
B,soulchat,0,
